Country2Code;Year;SP_NumericRating;Fitch_NumericRating;AvgRatingSF;Diff_UP_SF;BudgetBal_NGDP;BudgetBal_NGDP_Var;GGSB_NPGDP;GGSB_NPGDP_Var;GGXWDG_NGDP;GGXWDG_NGDP_Var;GGXWDN_NGDP;GGXWDN_NGDP_Var;NGDP_RPCH;NGDPDPC;NGDPDPC_Var;PCPIPCH;ExtDebtCombinedPercGNI;ExtDebtPercGNI_Var;DefaultLastYear;DefaultLast2Years;DefaultLast5Years;DefaultLast10Years
DO;2005;7;6;-1.0;1;-0.4;87.922;-0.44;83.68;21.29;-5.378;21.29;-5.378;9.22;4025.42;52.599;4.19;24.15;-37.535;1;1;1;1
DO;2006;7;7;-1.0;0;-0.93;-133.167;-1.15;-162.045;19.42;-8.765;19.42;-8.765;10.66;4216.93;4.758;7.57;27.04;11.959;1;1;1;1
DO;2007;8;7;-1.0;1;0.11;111.337;-0.13;88.552;17.52;-9.807;17.52;-9.807;8.48;4793.05;13.662;6.14;25.66;-5.104;1;1;1;1
DO;2008;7;7;-1.0;0;-3.26;-3174.528;-3.9;-2854.545;19.6;11.896;19.6;11.896;3.14;5180.17;8.076;10.64;22.86;-10.89;1;1;1;1
DO;2009;7;7;-1.0;0;-3.03;7.088;-2.41;38.282;22.73;15.947;22.73;15.947;0.94;5131.67;-0.936;1.44;25.51;11.591;1;1;1;1
DO;2010;7;7;-1.0;0;-2.74;9.676;-3.17;-31.865;23.75;4.505;23.75;4.505;8.3;5676.27;10.613;6.33;25.68;0.666;1;1;1;1
DO;2011;8;7;-1.0;1;-3.04;-11.115;-2.58;18.872;25.75;8.407;25.75;8.407;2.82;6085.89;7.216;8.46;26.88;4.645;1;1;1;1
DO;2012;8;7;-1.0;1;-6.58;-116.65;-6.8;-163.883;30.46;18.307;30.46;18.307;2.63;6252.48;2.737;3.7;37.95;41.185;1;1;1;1
DO;2013;8;7;-1.0;1;-3.56;45.99;-2.93;56.821;34.6;13.59;34.6;13.59;4.78;6264.14;0.186;4.83;42.14;11.053;1;1;1;1
DO;2014;8;8;-1.0;0;-3.03;14.679;-3.1;-5.692;34.38;-0.639;34.38;-0.639;7.34;6481.31;3.467;3;44;4.409;1;1;1;1
DO;2015;9;8;-1.0;1;0.07;102.241;-2.71;12.706;34.29;-0.273;34.29;-0.273;7;6755.74;4.234;0.84;25.49;-42.064;1;1;1;1
MA;2010;12;12;-1.0;0;-4.26;-141.27;-4.32;-129.041;49;6.226;48.49;6.691;3.82;2926.67;-0.717;0.99;29.64;10.112;0;1;1;1
MA;2011;12;12;-1.0;0;-6.58;-54.488;-6.79;-57.173;52.55;7.243;52.14;7.514;5.25;3149.43;7.612;0.91;30.01;1.228;0;0;1;1
MA;2012;12;12;-1.0;0;-7.25;-10.297;-7.39;-8.774;58.3;10.948;57.78;10.814;3.01;3021.52;-4.062;1.29;35.12;17.05;1;1;1;1
MA;2013;12;12;-1.0;0;-5.16;28.861;-5.22;29.368;61.49;5.473;60.98;5.551;4.73;3264.09;8.028;1.88;37.1;5.632;0;1;1;1
MA;2014;12;12;-1.0;0;-4.94;4.187;-6.21;-18.931;63.37;3.062;62.87;3.101;2.42;3315.61;1.578;0.44;39.78;7.224;0;0;1;1
MA;2015;12;12;-1.0;0;-4.3;13.069;-4.94;20.364;63.67;0.462;63.17;0.464;4.47;3078.59;-7.148;1.6;44.62;12.172;0;0;1;1
AO;2015;8;8;-1.0;0;-4.09;0;;0;62.33;0;;0;3;4100.32;0;10.28;0;0;1;1;1;1
