="";="foodw_smnetdebt";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggxwdn_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="cut1:_cons";="cut2:_cons";="cut3:_cons";="cut4:_cons";="cut5:_cons";="cut6:_cons";="cut7:_cons";="sigma2_u:_cons"
="b";="-.0144434";=".0112065";="-.0002465";=".0059069";="-.0003475";="";="";="";="";="0";=".096004";="";="";=".3697291";="1.746259";="2.20528";="2.628015";="2.779901";="3.155693";="3.274743";=".7130506"
="t";="-1.839862";=".5220644";="-.0736742";="1.529113";="-.5816914";="";="";="";="";=".";=".3712526";="";="";="1.382586";="6.869863";="7.784537";="9.079054";="8.619362";="7.2309";="6.86375";="3.003898"
="p";=".0657885";=".6016255";=".9412697";=".1262365";=".5607745";="";="";="";="";=".";=".7104494";="";="";=".166792";="6.43e-12";="7.11e-15";="0";="0";="4.80e-13";="6.71e-12";=".0026655"
="netdebt_ME0_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0053916";="-.0041833";=".000092";="-.002205";=".0001297";="";="";="";="";="0";="-.0355215";="";="";="";="";="";="";="";="";="";=""
="t";="1.882877";="-.5237511";=".0737115";="-1.527445";=".5816722";="";="";="";="";=".";="-.3746877";="";="";="";="";="";="";="";="";="";=""
="p";=".0597171";=".6004517";=".9412399";=".1266503";=".5607875";="";="";="";="";=".";=".7078927";="";="";="";="";="";="";="";="";="";=""
="netdebt_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.003965";=".0030764";="-.0000677";=".0016216";="-.0000954";="";="";="";="";="0";=".0264441";="";="";="";="";="";="";="";="";="";=""
="t";="-1.833367";=".5249066";="-.0738115";="1.514643";="-.5751622";="";="";="";="";=".";=".374806";="";="";="";="";="";="";="";="";="";=""
="p";=".066748";=".5996481";=".9411604";=".1298628";=".5651816";="";="";="";="";=".";=".7078048";="";="";="";="";="";="";="";="";="";=""
="netdebt_ME2_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0008132";=".000631";="-.0000139";=".0003326";="-.0000196";="";="";="";="";="0";=".0052136";="";="";="";="";="";="";="";="";="";=""
="t";="-1.745411";=".5183042";="-.0736201";="1.299416";="-.5938445";="";="";="";="";=".";=".3757532";="";="";="";="";="";="";="";="";="";=""
="p";=".0809133";=".6042461";=".9413127";=".1938014";=".5526161";="";="";="";="";=".";=".7071004";="";="";="";="";="";="";="";="";="";=""
="netdebt_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0144984";=".0094492";="-.0004542";=".0063065";="-.0003402";="";="";="";="";="";="";="0";=".2955402";=".5463512";="1.925316";="2.384189";="2.805645";="2.956614";="3.329766";="3.447975";=".712327"
="t";="-1.858601";=".4547352";="-.1384577";="1.524643";="-.5767942";="";="";="";="";="";="";=".";=".8860616";="1.558484";="5.093423";="5.717264";="6.430091";="6.345446";="5.613067";="5.422749";="2.990464"
="p";=".0630837";=".6492998";=".8898787";=".1273481";=".5640785";="";="";="";="";="";="";=".";=".3755843";=".1191186";="3.52e-07";="1.08e-08";="1.28e-10";="2.22e-10";="1.99e-08";="5.87e-08";=".0027855"
="netdebt_ME0_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0054029";="-.0035213";=".0001692";="-.0023501";=".0001268";="";="";="";="";="";="";="0";="-.1056806";="";="";="";="";="";="";="";=""
="t";="1.898543";="-.4563888";=".1385369";="-1.529772";=".5767955";="";="";="";="";="";="";=".";="-.9305389";="";="";="";="";="";="";="";=""
="p";=".0576246";=".6481104";=".8898161";=".1260732";=".5640776";="";="";="";="";="";="";=".";=".3520921";="";="";="";="";="";="";="";=""
="netdebt_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0039637";=".0025833";="-.0001242";=".0017241";="-.000093";="";="";="";="";="";="";="0";=".0812563";="";="";="";="";="";="";="";=""
="t";="-1.852095";=".4588938";="-.1388432";="1.505209";="-.5704612";="";="";="";="";="";="";=".";=".8951629";="";="";="";="";="";="";="";=""
="p";=".0640121";=".6463104";=".889574";=".1322702";=".5683649";="";="";="";="";="";="";=".";=".3707";="";="";="";="";="";="";="";=""
="netdebt_ME2_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0008182";=".0005332";="-.0000256";=".0003559";="-.0000192";="";="";="";="";="";="";="0";=".0143129";="";="";="";="";="";="";="";=""
="t";="-1.749672";=".4501637";="-.1381754";="1.302601";="-.5889639";="";="";="";="";="";="";=".";=".9663655";="";="";="";="";="";="";="";=""
="p";=".080175";=".6525924";=".8901018";=".1927112";=".5558855";="";="";="";="";="";="";=".";=".3338613";="";="";="";="";="";="";="";=""
=""
