="";="foodw_sfbudgetbal";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:budgetbal_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="cut1:_cons";="cut2:_cons";="cut3:_cons";="cut4:_cons";="cut5:_cons";="cut6:_cons";="cut7:_cons";="cut8:_cons";="sigma2_u:_cons"
="budgetbal_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0085622";="-.0446561";="-.0045604";="-.0000222";="-.0002545";="0";="-.2398402";="";="";="";="";="";="";="-.0446409";="1.464224";="2.234348";="2.577481";="2.713752";="3.373175";="3.611894";="3.924245";=".7858516"
="t";="-1.323865";="-2.18089";="-2.025514";="-.4071422";="-.5269014";=".";="-1.358873";="";="";="";="";="";="";="-.2542037";="6.668708";="7.455714";="8.941489";="9.772326";="9.709962";="7.440996";="5.088084";="2.016193"
="p";=".1855478";=".0291916";=".0428146";=".6839036";=".5982621";=".";=".1741868";="";="";="";="";="";="";=".7993382";="2.58e-11";="8.95e-14";="0";="0";="0";="9.99e-14";="3.62e-07";=".0437798"
="budgetbal_ME0_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0031248";=".0162975";=".0016643";="8.11e-06";=".0000929";="0";=".0886928";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="t";="1.313997";="2.243178";="2.029297";=".4067603";=".5276884";=".";="1.357339";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="p";=".188847";=".0248854";=".0424281";=".684184";=".5977156";=".";=".1746737";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="budgetbal_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0024235";="-.0126398";="-.0012908";="-6.29e-06";="-.000072";="0";="-.0686603";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="t";="-1.312511";="-2.164947";="-2.081377";="-.4032961";="-.5227818";=".";="-1.369768";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="p";=".1893479";=".0303917";=".0373995";=".6867304";=".6011261";=".";=".1707593";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="budgetbal_ME2_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0005529";="-.0028839";="-.0002945";="-1.44e-06";="-.0000164";="0";="-.015842";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="t";="-1.190513";="-2.018377";="-1.558167";="-.4104659";="-.526312";=".";="-1.19038";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="p";=".2338449";=".043552";=".1191936";=".6814642";=".5986715";=".";=".2338969";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="budgetbal_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0084738";="-.0436821";="-.0046653";="-.0000176";="-.0002779";="";="";="0";="-.2659382";="";="";="";="";="-.0750379";="1.436169";="2.206715";="2.550056";="2.686209";="3.337526";="3.568235";="3.874673";=".7898599"
="t";="-1.308676";="-2.119258";="-2.098129";="-.3161601";="-.5734742";="";="";=".";="-1.430083";="";="";="";="";="-.4085983";="6.435893";="7.227956";="8.704175";="9.329242";="9.212697";="7.258076";="5.064902";="2.026417"
="p";=".1906442";=".0340687";=".0358938";=".751881";=".5663237";="";="";=".";=".1526932";="";="";="";="";=".6828345";="1.23e-10";="4.90e-13";="0";="0";="0";="3.93e-13";="4.09e-07";=".0427221"
="budgetbal_ME0_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0030896";=".0159266";=".001701";="6.43e-06";=".0001013";="";="";="0";=".0989517";="";="";="";="";="";="";="";="";="";="";="";="";=""
="t";="1.299969";="2.173608";="2.1009";=".3157776";=".57454";="";="";=".";="1.426843";="";="";="";="";="";="";="";="";="";="";="";="";=""
="p";=".1936117";=".0297346";=".0356498";=".7521713";=".5656025";="";="";=".";=".1536251";="";="";="";="";="";="";="";="";="";="";="";="";=""
="budgetbal_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0023981";="-.0123621";="-.0013203";="-4.99e-06";="-.0000786";="";="";="0";="-.076042";="";="";="";="";="";="";="";="";="";="";="";="";=""
