="";="foodw_mfbudgetbal";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:budgetbal_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="cut1:_cons";="cut2:_cons";="cut3:_cons";="sigma2_u:_cons"
="budgetbal_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0042586";=".0071033";="-.0073996";=".000099";=".006403";="0";=".067455";="";="";="";="";="";="";="1.49985";="2.421461";="3.230978";="1.056065"
="t";="-.5595521";=".1869861";="-1.122033";=".7944353";=".1342117";=".";=".1794804";="";="";="";="";="";="";="4.160034";="5.896959";="6.15925";="2.969723"
="p";=".575785";=".8516716";=".2618483";=".426942";=".8932352";=".";=".8575605";="";="";="";="";="";="";=".0000318";="3.70e-09";="7.31e-10";=".0029807"
="budgetbal_ME0_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0005683";="-.000948";=".0009875";="-.0000132";="-.0008545";="0";="-.0093826";="";="";="";="";="";="";="";="";="";=""
="t";=".5549393";="-.1870346";="1.04233";="-.7754298";="-.134662";=".";="-.1722292";="";="";="";="";="";="";="";="";="";=""
="p";=".5789362";=".8516335";=".2972588";=".4380857";=".8928791";=".";=".8632573";="";="";="";="";="";="";="";="";="";=""
="budgetbal_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0004709";=".0007855";="-.0008183";=".0000109";=".0007081";="0";=".0077328";="";="";="";="";="";="";="";="";="";=""
="t";="-.5554279";=".1868832";="-1.077363";=".7969622";=".1343149";=".";=".1725397";="";="";="";="";="";="";="";="";="";=""
="p";=".578602";=".8517522";=".2813179";=".425473";=".8931536";=".";=".8630132";="";="";="";="";="";="";="";="";="";=""
="budgetbal_ME2_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0000869";=".000145";="-.0001511";="2.02e-06";=".0001307";="0";=".0014686";="";="";="";="";="";="";="";="";="";=""
="t";="-.5324492";=".1850854";="-.8701742";=".6699605";=".1354821";=".";=".1708217";="";="";="";="";="";="";="";="";="";=""
="p";=".5944149";=".8531621";=".3842052";=".502883";=".8922307";=".";=".864364";="";="";="";="";="";="";="";="";="";=""
="budgetbal_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0042774";=".0071494";="-.0075029";=".000099";=".0067501";="";="";="0";=".0217097";="";="";="";="";="1.497392";="2.418925";="3.228571";="1.058955"
="t";="-.5551607";=".1867037";="-1.183876";=".7944212";=".1406908";="";="";=".";=".0533146";="";="";="";="";="4.18094";="5.935232";="6.211537";="2.970473"
