="";="fooup_mfgrossdebt";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggxwdg_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="cut1:_cons";="cut2:_cons";="cut3:_cons";="cut4:_cons";="cut5:_cons";="cut6:_cons";="sigma2_u:_cons"
="t";=".7022213";="-.1399164";="1.17549";=".9286943";="-.5308033";="";="";="";="";=".";="-1.316806";="";="";=".2141944";="4.340255";="4.051198";="3.933781";="4.252432";="5.36256";="2.227363"
="p";=".4825411";=".888726";=".2397989";=".3530476";=".5955551";="";="";="";="";=".";=".1879036";="";="";=".8303955";=".0000142";=".000051";=".0000836";=".0000211";="8.21e-08";=".025923"
="grossdebt_ME0_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0023189";=".0019052";="-.0019818";="-.0015146";=".0002726";="";="";="";="";="0";=".1388734";="";="";="";="";="";="";="";="";=""
="t";="-.6968789";=".1398162";="-1.186051";="-.9334492";=".5316606";="";="";="";="";=".";="1.340736";="";="";="";="";="";="";="";="";=""
="p";=".4858786";=".8888052";=".2356023";=".3505881";=".5949611";="";="";="";="";=".";=".1800061";="";="";="";="";="";="";="";="";=""
="grossdebt_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0019257";="-.0015822";=".0016457";=".0012578";="-.0002264";="";="";="";="";="0";="-.1129361";="";="";="";="";="";="";="";="";=""
="t";=".6836444";="-.1387894";="1.160817";=".9089231";="-.523051";="";="";="";="";=".";="-1.394029";="";="";="";="";="";="";="";="";=""
="p";=".4941998";=".8896166";=".2457162";=".3633907";=".6009388";="";="";="";="";=".";=".1633089";="";="";="";="";="";="";="";="";=""
="grossdebt_ME2_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0003465";="-.0002847";=".0002961";=".0002263";="-.0000407";="";="";="";="";="0";="-.0227565";="";="";="";="";="";="";="";="";=""
="t";=".6771211";="-.1427584";=".9947237";=".8870375";="-.5378875";="";="";="";="";=".";="-.9543451";="";="";="";="";="";="";="";="";=""
="p";=".4983291";=".886481";=".3198707";=".3750587";=".5906547";="";="";="";="";=".";=".339909";="";="";="";="";="";="";="";="";=""
="grossdebt_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0075025";="-.0122412";=".0056054";=".0038317";="-.0007283";="";="";="";="";="";="";="0";="-.1778654";=".1349299";="1.785491";="2.71511";="2.824748";="2.960482";="3.404836";="1.128442"
="t";=".8550264";="-.3330079";="1.207112";=".8749106";="-.5449639";="";="";="";="";="";="";=".";="-.3894189";=".3523655";="3.549777";="3.601684";="3.556264";="3.830222";="4.772756";="2.154558"
="p";=".3925365";=".7391283";=".2273891";=".3816225";=".5857783";="";="";="";="";="";="";=".";=".6969663";=".7245641";=".0003856";=".0003162";=".0003762";=".000128";="1.82e-06";=".0311965"
