
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)";="(15)";="(16)"
="Const";="2.714***";="";="";="";="2.686***";="";="";="";="2.775***";="";="";="";="2.446***";="";="";=""
="";="(9.77)";="";="";="";="(9.33)";="";="";="";="(8.66)";="";="";="";="(6.52)";="";="";=""

="cut6";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="3.373***";="";="";="";="3.338***";="";="";="";="3.422***";="";="";="";="3.088***";="";="";=""
="";="(9.71)";="";="";="";="(9.21)";="";="";="";="(8.43)";="";="";="";="(6.65)";="";="";=""

="cut7";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="3.612***";="";="";="";="3.568***";="";="";="";="3.652***";="";="";="";="3.317***";="";="";=""
="";="(7.44)";="";="";="";="(7.26)";="";="";="";="(6.84)";="";="";="";="(5.64)";="";="";=""

="cut8";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="3.924***";="";="";="";="3.875***";="";="";="";="3.955***";="";="";="";="3.624***";="";="";=""
="";="(5.09)";="";="";="";="(5.06)";="";="";="";="(4.93)";="";="";="";="(4.25)";="";="";=""

="sigma2_u";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="0.786**";="";="";="";="0.790**";="";="";="";="0.771**";="";="";="";="0.728*";="";="";=""
="";="(2.02)";="";="";="";="(2.03)";="";="";="";="(2.01)";="";="";="";="(1.89)";="";="";=""

="Observations";="435";="435";="435";="435";="435";="435";="435";="435";="435";="435";="435";="435";="435";="435";="435";="435"
="Pseudo R-squared";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
