="";="foodw_sfnetdebt";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggxwdn_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="cut1:_cons";="cut2:_cons";="cut3:_cons";="cut4:_cons";="cut5:_cons";="cut6:_cons";="cut7:_cons";="cut8:_cons";="sigma2_u:_cons"
="netdebt_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0055921";="-.0441112";="-.0044442";=".0071377";="-.0002721";="";="";="";="";="0";="-.0301222";="";="";=".1013886";="1.619947";="2.39738";="2.741836";="2.875665";="3.517793";="3.745804";="4.046199";=".8038702"
="t";="-.8779503";="-2.038223";="-2.024201";="1.909419";="-.5727398";="";="";="";="";=".";="-.1380115";="";="";=".465811";="5.646794";="6.675998";="7.797408";="7.990802";="7.891866";="6.55785";="4.856092";="2.01158"
="p";=".3799707";=".0415277";=".0429495";=".0562081";=".5668209";="";="";="";="";=".";=".8902313";="";="";=".6413508";="1.63e-08";="2.46e-11";="6.22e-15";="1.33e-15";="2.89e-15";="5.46e-11";="1.20e-06";=".0442643"
="netdebt_ME0_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0020414";=".0161026";=".0016223";="-.0026056";=".0000993";="";="";="";="";="0";=".011031";="";="";="";="";="";="";="";="";="";="";=""
="t";=".8718699";="2.085048";="2.016683";="-1.892192";=".5751436";="";="";="";="";=".";=".1377056";="";="";="";="";="";="";="";="";="";="";=""
="p";=".3832793";=".037065";=".0437287";=".0584654";=".5651942";="";="";="";="";=".";=".8904731";="";="";="";="";="";="";="";="";="";="";=""
="netdebt_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0016005";="-.0126247";="-.0012719";=".0020428";="-.0000779";="";="";="";="";="0";="-.0086231";="";="";="";="";="";="";="";="";="";="";=""
="t";="-.8750587";="-2.045353";="-2.08883";="1.770772";="-.5698824";="";="";="";="";=".";="-.1383636";="";="";="";="";="";="";="";="";="";="";=""
="p";=".381542";=".0408201";=".036723";=".0765987";=".5687574";="";="";="";="";=".";=".889953";="";="";="";="";="";="";="";="";="";="";=""
="netdebt_ME2_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0003493";="-.0027554";="-.0002776";=".0004459";="-.000017";="";="";="";="";="0";="-.0019065";="";="";="";="";="";="";="";="";="";="";=""
="t";="-.8204022";="-1.837667";="-1.52304";="1.831001";="-.5709263";="";="";="";="";=".";="-.1354903";="";="";="";="";="";="";="";="";="";="";=""
="p";=".4119869";=".0661115";=".1277486";=".0671003";=".5680496";="";="";="";="";=".";=".8922242";="";="";="";="";="";="";="";="";="";="";=""
="netdebt_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
