="";="fooup_mfnetdebt";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggxwdn_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="cut1:_cons";="cut2:_cons";="cut3:_cons";="cut4:_cons";="cut5:_cons";="cut6:_cons";="sigma2_u:_cons"
="netdebt_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0040605";="-.0174403";=".0050449";="-.0002893";="-.0008049";="0";="-.075633";="";="";="";="";="";="";=".2023551";="1.852465";="2.786269";="2.897469";="3.035567";="3.492317";="1.148103"
="t";=".5130845";="-.5066128";="1.092207";="-.0445844";="-.4743249";=".";="-.3565299";="";="";="";="";="";="";=".8704076";="5.054776";="4.486869";="4.319654";="4.674103";="5.912538";="2.254272"
="p";=".6078922";=".6124265";=".2747422";=".9644385";=".6352683";=".";=".7214437";="";="";="";="";="";="";=".3840777";="4.31e-07";="7.23e-06";=".0000156";="2.95e-06";="3.37e-09";=".0241791"
="netdebt_ME0_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.001534";=".0065888";="-.0019059";=".0001093";=".0003041";="0";=".0285938";="";="";="";="";="";="";="";="";="";="";="";="";=""
="t";="-.5106792";=".5068657";="-1.098173";=".0445766";=".4746052";=".";=".3581231";="";="";="";="";="";="";="";="";="";="";="";="";=""
="p";=".6095757";=".6122491";=".272129";=".9644448";=".6350684";=".";=".7202512";="";="";="";="";="";="";="";="";="";="";="";="";=""
="netdebt_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".001283";="-.0055104";=".001594";="-.0000914";="-.0002543";="0";="-.0239326";="";="";="";="";="";="";="";="";="";="";="";="";=""
="t";=".5029708";="-.4918309";="1.074556";="-.0445329";="-.4670431";=".";="-.3610945";="";="";="";="";="";="";="";="";="";="";="";="";=""
="p";=".6149848";=".6228389";=".2825738";=".9644796";=".640469";=".";=".7180288";="";="";="";="";="";="";="";="";="";="";="";="";=""
="netdebt_ME2_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0002234";="-.0009594";=".0002775";="-.0000159";="-.0000443";="0";="-.0041489";="";="";="";="";="";="";="";="";="";="";="";="";=""
="t";=".5083353";="-.5395226";=".9363946";="-.0447277";="-.4845509";=".";="-.3370702";="";="";="";="";="";="";="";="";="";="";="";="";=""
="p";=".6112182";=".5895263";=".3490701";=".9643243";=".6279949";=".";=".736064";="";="";="";="";="";="";="";="";="";="";="";="";=""
="netdebt_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0043785";="-.019389";=".0050564";="-.0003212";="-.0008077";="";="";="0";="-.0068512";="";="";="";="";=".2311038";="1.882688";="2.817237";="2.928711";="3.067025";="3.524007";="1.16436"
="t";=".5393627";="-.5576342";="1.078767";="-.0489385";="-.4822638";="";="";=".";="-.0273263";="";="";="";="";=".9518039";="4.737052";="4.348802";="4.200787";="4.53557";="5.70144";="2.186999"
="p";=".5896366";=".5770942";=".2806918";=".9609683";=".6296186";="";="";=".";=".9781995";="";="";="";="";=".3411965";="2.17e-06";=".0000137";=".0000266";="5.74e-06";="1.19e-08";=".0287426"
="netdebt_ME0_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0016549";=".0073281";="-.0019111";=".0001214";=".0003053";="";="";="0";=".0025899";="";="";="";="";="";="";="";="";="";="";=""
="t";="-.5371935";=".5582346";="-1.084838";=".0489296";=".4826607";="";="";=".";=".0273291";="";="";="";="";="";="";="";="";="";="";=""
="p";=".591134";=".5766842";=".2779933";=".9609754";=".6293366";="";="";=".";=".9781973";="";="";="";="";="";="";="";="";="";="";=""
="netdebt_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0013857";="-.0061362";=".0016002";="-.0001016";="-.0002556";="";="";="0";="-.0021684";="";="";="";="";="";="";="";="";="";="";=""
="t";=".5282564";="-.5396361";="1.059761";="-.0488804";="-.4749483";="";="";=".";="-.0273595";="";="";="";="";="";="";="";="";="";="";=""
="p";=".5973214";=".589448";=".2892534";=".9610146";=".6348239";="";="";=".";=".978173";="";="";="";="";="";="";="";="";="";="";=""
="netdebt_ME2_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0002396";="-.0010612";=".0002768";="-.0000176";="-.0000442";="";="";="0";="-.0003752";="";="";="";="";="";="";="";="";="";="";=""
="t";=".5348977";="-.5967647";=".9324736";="-.0490963";="-.4918889";="";="";=".";="-.0271924";="";="";="";="";="";="";="";="";="";="";=""
="p";=".5927206";=".5506645";=".3510918";=".9608426";=".6227979";="";="";=".";=".9783063";="";="";="";="";="";="";="";="";="";="";=""
="netdebt_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0028478";="-.0107841";=".0048169";="-.000138";="-.0008288";="";="";="";="";="0";="-.3493353";="";="";=".0106196";="1.658749";="2.586761";="2.697054";="2.834393";="3.290569";="1.090995"
="t";=".3636856";="-.3058417";="1.048191";="-.0207566";="-.4206214";="";="";="";="";=".";="-1.282343";="";="";=".0477864";="4.42373";="4.041929";="3.92404";="4.251377";="5.401649";="2.237163"
="p";=".7160928";=".7597252";=".2945504";=".9834398";=".6740315";="";="";="";="";=".";=".1997224";="";="";=".9618865";="9.70e-06";=".000053";=".0000871";=".0000212";="6.60e-08";=".0252757"
="netdebt_ME0_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0010635";=".0040272";="-.0017988";=".0000515";=".0003095";="";="";="";="";="0";=".1340915";="";="";="";="";="";="";="";="";=""
="t";="-.3617417";=".3054155";="-1.05488";=".0207553";=".4208499";="";="";="";="";=".";="1.304974";="";="";="";="";="";="";="";="";=""
="p";=".717545";=".7600497";=".2914802";=".9834408";=".6738647";="";="";="";="";=".";=".1919018";="";="";="";="";="";="";="";="";=""
="netdebt_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0008829";="-.0033433";=".0014934";="-.0000428";="-.0002569";="";="";="";="";="0";="-.1091546";="";="";="";="";="";="";="";="";=""
="t";=".3573251";="-.299692";="1.031152";="-.0207464";="-.4151963";="";="";="";="";=".";="-1.351376";="";="";="";="";="";="";="";="";=""
="p";=".7208484";=".7644121";=".3024697";=".9834479";=".6779982";="";="";="";="";=".";=".1765751";="";="";="";="";="";="";="";="";=""
="netdebt_ME2_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0001593";="-.0006033";=".0002695";="-7.72e-06";="-.0000464";="";="";="";="";="0";="-.0219214";="";="";="";="";="";="";="";="";=""
="t";=".3663892";="-.3207975";=".9249054";="-.0207848";="-.4295363";="";="";="";="";=".";="-.9422446";="";="";="";="";="";="";="";="";=""
="p";=".7140747";=".7483638";=".3550151";=".9834173";=".667533";="";="";="";="";=".";=".3460674";="";="";="";="";="";="";="";="";=""
="netdebt_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0043235";="-.017734";=".0051061";="-.0001952";="-.0008146";="";="";="";="";="";="";="0";="-.1526258";=".1111741";="1.755891";="2.68769";="2.799375";="2.938088";="3.396359";="1.119179"
="t";=".5694519";="-.5038198";="1.086309";="-.0297784";="-.4459085";="";="";="";="";="";="";=".";="-.3444688";=".2951078";="3.577237";="3.603223";="3.558447";="3.838924";="4.812143";="2.162248"
="p";=".5690495";=".614388";=".2773423";=".9762437";=".6556633";="";="";="";="";="";="";=".";=".7304937";=".7679116";=".0003472";=".0003143";=".0003731";=".0001236";="1.49e-06";=".0305991"
="netdebt_ME0_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0016309";=".0066896";="-.0019261";=".0000736";=".0003073";="";="";="";="";="";="";="0";=".0584612";="";="";="";="";="";="";=""
="t";="-.566586";=".5036795";="-1.09165";=".0297747";=".4466357";="";="";="";="";="";="";=".";=".3413947";="";="";="";="";="";="";=""
="p";=".5709955";=".6144866";=".274987";=".9762467";=".6551381";="";="";="";="";="";="";=".";=".7328065";="";="";="";="";="";="";=""
="netdebt_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0013626";="-.0055889";=".0016092";="-.0000615";="-.0002567";="";="";="";="";="";="";="0";="-.0479444";="";="";="";="";="";="";=""
="t";=".557397";="-.4897998";="1.066767";="-.0297561";="-.4406804";="";="";="";="";="";="";=".";="-.3486806";="";="";="";="";="";="";=""
="p";=".5772562";=".6242755";=".2860769";=".9762616";=".6594444";="";="";="";="";="";="";=".";=".7273291";="";="";="";="";="";="";=""
="netdebt_ME2_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0002385";="-.0009781";=".0002816";="-.0000108";="-.0000449";="";="";="";="";="";="";="0";="-.0092869";="";="";="";="";="";="";=""
="t";=".5587432";="-.5301083";=".9429442";="-.0298394";="-.4538567";="";="";="";="";="";="";=".";="-.3093604";="";="";="";="";="";="";=""
="p";=".576337";=".5960369";=".3457095";=".9761951";=".649932";="";="";="";="";="";="";=".";=".7570474";="";="";="";="";="";="";=""
=""
