="";="fooup_mfbudgetbal";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:budgetbal_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="cut1:_cons";="cut2:_cons";="cut3:_cons";="cut4:_cons";="cut5:_cons";="cut6:_cons";="sigma2_u:_cons"
="budgetbal_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0034695";="-.0187709";=".0047865";=".0002743";="-.0008679";="0";="-.0785823";="";="";="";="";="";="";=".1817984";="1.832727";="2.767097";="2.878467";="3.017098";="3.473538";="1.121229"
="t";=".4403362";="-.5483583";="1.054895";="1.325699";="-.4232472";=".";="-.369999";="";="";="";="";="";="";=".7868642";="4.967594";="4.430465";="4.265362";="4.615901";="5.826233";="2.250664"
="p";=".6596936";=".5834459";=".2914736";=".1849395";=".6721149";=".";=".7113832";="";="";="";="";="";="";=".4313614";="6.78e-07";="9.40e-06";=".00002";="3.91e-06";="5.67e-09";=".0244069"
="budgetbal_ME0_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0012997";=".0070319";="-.0017931";="-.0001028";=".0003251";="0";=".0294638";="";="";="";="";="";="";="";="";="";="";="";="";=""
="t";="-.4383496";=".548473";="-1.060017";="-1.327679";=".4233281";=".";=".3719207";="";="";="";="";="";="";="";="";="";="";="";="";=""
="p";=".6611329";=".5833671";=".2891369";=".184284";=".6720559";=".";=".7099519";="";="";="";="";="";="";="";="";="";="";="";="";=""
="budgetbal_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0010843";="-.0058662";=".0014959";=".0000857";="-.0002712";="0";="-.0245997";="";="";="";="";="";="";="";="";="";="";="";="";=""
="t";=".4320445";="-.5315663";="1.038396";="1.384709";="-.4172666";=".";="-.3750947";="";="";="";="";="";="";="";="";="";="";="";="";=""
="p";=".6657091";=".5950264";=".2990856";=".1661414";=".6764834";=".";=".70759";="";="";="";="";="";="";="";="";="";="";="";="";=""
="budgetbal_ME2_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0001912";="-.0010343";=".0002638";=".0000151";="-.0000478";="0";="-.0043187";="";="";="";="";="";="";="";="";="";="";="";="";=""
="t";=".4421761";="-.5794441";=".915959";=".9191997";="-.4334879";=".";="-.3495683";="";="";="";="";="";="";="";="";="";="";="";="";=""
