="";="foodw_smgrossdebt";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggxwdg_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="cut1:_cons";="cut2:_cons";="cut3:_cons";="cut4:_cons";="cut5:_cons";="cut6:_cons";="cut7:_cons";="sigma2_u:_cons"
="b";="-.0124547";=".0113518";=".0002312";=".0040659";="-.0003279";="";="";="";="";="0";=".0798257";="";="";=".3595573";="1.73438";="2.190863";="2.609151";="2.758905";="3.130674";="3.24966";=".6905195"
="t";="-1.412545";=".5400187";=".0684709";=".9406252";="-.555797";="";="";="";="";=".";=".3126291";="";="";="1.349754";="6.449919";="7.610262";="8.567094";="8.078585";="7.299596";="6.929947";="2.980125"
="p";=".1577895";=".5891841";=".9454108";=".3468969";=".5783497";="";="";="";="";=".";=".7545625";="";="";=".1770948";="1.12e-10";="2.73e-14";="0";="6.66e-16";="2.89e-13";="4.21e-12";=".0028813"
="grossdebt_ME0_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0046711";="-.0042575";="-.0000867";="-.0015249";=".000123";="";="";="";="";="0";="-.0297282";="";="";="";="";="";="";="";="";="";=""
="t";="1.434219";="-.5411951";="-.0684484";="-.9430101";=".5562207";="";="";="";="";=".";="-.3149419";="";="";="";="";="";="";="";="";="";=""
="p";=".1515098";=".5883731";=".9454287";=".3456758";=".57806";="";="";="";="";=".";=".7528057";="";="";="";="";="";="";="";="";="";=""
="grossdebt_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0034268";=".0031233";=".0000636";=".0011187";="-.0000902";="";="";="";="";="0";=".0220355";="";="";="";="";="";="";="";="";="";=""
="t";="-1.424683";=".5397061";=".0683576";=".9048137";="-.5502053";="";="";="";="";=".";=".3149008";="";="";="";="";="";="";="";="";="";=""
="p";=".1542487";=".5893997";=".945501";=".3655641";=".5821785";="";="";="";="";=".";=".752837";="";="";="";="";="";="";="";="";="";=""
="grossdebt_ME2_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0007055";=".000643";=".0000131";=".0002303";="-.0000186";="";="";="";="";="0";=".0043909";="";="";="";="";="";="";="";="";="";=""
="t";="-1.328154";=".5455606";=".0685237";="1.026252";="-.5676642";="";="";="";="";=".";=".3167534";="";="";="";="";="";="";="";="";="";=""
="p";=".1841274";=".585368";=".9453688";=".3047729";=".570263";="";="";="";="";=".";=".7514308";="";="";="";="";="";="";="";="";="";=""
="grossdebt_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0125406";=".0094114";=".0000477";=".0040826";="-.0003208";="";="";="";="";="";="";="0";=".2639747";=".5196351";="1.896277";="2.352438";="2.769649";="2.918629";="3.288129";="3.406453";=".6882685"
="t";="-1.429354";=".4693053";=".0143803";=".9300561";="-.5476462";="";="";="";="";="";="";=".";=".8153235";="1.535555";="5.0489";="5.786911";="6.381106";="6.234881";="5.735632";="5.528933";="2.983903"
="p";=".1529024";=".6388515";=".9885266";=".3523421";=".5839349";="";="";="";="";="";="";=".";=".4148872";=".1246474";="4.44e-07";="7.17e-09";="1.76e-10";="4.52e-10";="9.71e-09";="3.22e-08";=".002846"
="grossdebt_ME0_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0046975";="-.0035254";="-.0000179";="-.0015293";=".0001202";="";="";="";="";="";="";="0";="-.0954627";="";="";="";="";="";="";="";=""
="t";="1.448331";="-.4704622";="-.0143796";="-.9337186";=".5481039";="";="";="";="";="";="";=".";="-.8486832";="";="";="";="";="";="";="";=""
="p";=".1475246";=".6380249";=".9885271";=".3504491";=".5836205";="";="";="";="";="";="";=".";=".3960576";="";="";="";="";="";="";="";=""
="grossdebt_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0034383";=".0025804";=".0000131";=".0011194";="-.000088";="";="";="";="";="";="";="0";=".0729493";="";="";="";="";="";="";="";=""
="t";="-1.440346";=".471002";=".0143763";=".895468";="-.5423217";="";="";="";="";="";="";=".";=".8189269";="";="";="";="";="";="";="";=""
="p";=".1497695";=".6376393";=".9885297";=".370537";=".5875969";="";="";="";="";="";="";=".";=".4128281";="";="";="";="";="";="";="";=""
="grossdebt_ME2_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0007119";=".0005343";="2.71e-06";=".0002318";="-.0000182";="";="";="";="";="";="";="0";=".0130978";="";="";="";="";="";="";="";=""
="t";="-1.33696";=".4724249";=".0143835";="1.013591";="-.5592884";="";="";="";="";="";="";=".";=".8820749";="";="";="";="";="";="";="";=""
="p";=".1812358";=".6366235";=".988524";=".3107781";=".5759649";="";="";="";="";="";="";=".";=".3777363";="";="";="";="";="";="";="";=""
=""
