="";="foodw_mfgrossdebt";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggxwdg_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="cut1:_cons";="cut2:_cons";="cut3:_cons";="sigma2_u:_cons"
="p";=".4008735";=".7768205";=".2284077";=".1828994";=".8711168";="";="";="";="";=".";=".7781902";="";="";="";="";="";=""
="grossdebt_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0007225";="-.0013661";="-.0010505";="-.0011076";=".0008424";="";="";="";="";="0";="-.010265";="";="";="";="";="";=""
="t";="-.8438547";="-.2840109";="-1.258692";="-1.374162";=".161731";="";="";="";="";=".";="-.2814046";="";="";="";="";="";=""
="p";=".3987506";=".776402";=".2081417";=".1693913";=".8715177";="";="";="";="";=".";=".7784001";="";="";="";="";="";=""
="grossdebt_ME2_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0001341";="-.0002535";="-.000195";="-.0002056";=".0001563";="";="";="";="";="0";="-.0018389";="";="";="";="";="";=""
="t";="-.7593628";="-.2828809";="-.9558978";="-1.031331";=".1632212";="";="";="";="";=".";="-.2773638";="";="";="";="";="";=""
="p";=".4476355";=".7772681";=".3391239";=".3023857";=".8703443";="";="";="";="";=".";=".7815008";="";="";="";="";="";=""
="grossdebt_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0066742";="-.0093672";="-.0092698";="-.0106976";=".0123477";="";="";="";="";="";="";="0";="-.4015401";="1.344968";="2.279761";="3.100142";="1.164505"
="t";="-.9132815";="-.2156891";="-1.305537";="-1.730158";=".2708134";="";="";="";="";="";="";=".";="-.9110605";="3.87505";="5.773886";="6.103233";="2.702499"
="p";=".3610945";=".8292301";=".19171";=".0836021";=".7865346";="";="";="";="";="";="";=".";=".3622635";=".0001066";="7.75e-09";="1.04e-09";=".006882"
="grossdebt_ME0_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0009167";=".0012865";=".0012732";=".0014693";="-.0016959";="";="";="";="";="";="";="0";=".0455518";="";="";="";=""
="t";=".8861288";=".2153456";="1.205146";="1.516972";="-.2721908";="";="";="";="";="";="";=".";="1.033707";="";="";="";=""
="p";=".3755482";=".8294979";=".228147";=".1292737";=".7854753";="";="";="";="";="";="";=".";=".3012731";="";="";="";=""
="grossdebt_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0007564";="-.0010616";="-.0010506";="-.0012124";=".0013994";="";="";="";="";="";="";="0";="-.0384984";="";="";="";=""
="t";="-.893926";="-.2154124";="-1.259072";="-1.580337";=".2709045";="";="";="";="";="";="";=".";="-1.04519";="";="";="";=""
="p";=".3713615";=".8294458";=".2080043";=".1140298";=".7864645";="";="";="";="";="";="";=".";=".2959352";="";="";="";=""
="grossdebt_ME2_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0001429";="-.0002006";="-.0001985";="-.0002291";=".0002644";="";="";="";="";="";="";="0";="-.0063673";="";="";="";=""
="t";="-.7844949";="-.2163763";="-.9562912";="-1.113912";=".2733052";="";="";="";="";="";="";=".";="-.8792173";="";="";="";=""
="p";=".4327498";=".8286944";=".3389251";=".265317";=".7846186";="";="";="";="";="";="";=".";=".3792835";="";="";="";=""
=""
