="";="fooup_smnetdebt";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggxwdn_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="cut1:_cons";="cut2:_cons";="cut3:_cons";="cut4:_cons";="cut5:_cons";="cut6:_cons";="sigma2_u:_cons"
="t";="-1.276742";="-.0382444";="-1.892698";=".3529246";="-.6361928";="";="";="";="";=".";=".0459404";="";="";="3.549626";="6.622851";="6.952443";="6.28732";="6.092117";="8.789075";="3.424113"
="p";=".2016934";=".9694928";=".058398";=".724145";=".5246508";="";="";="";="";=".";=".9633577";="";="";=".0003858";="3.52e-11";="3.59e-12";="3.23e-10";="1.11e-09";="0";=".0006168"
="netdebt_ME0_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0014279";=".0002607";=".0029614";="-.0000315";=".0050266";="";="";="";="";="0";="-.005423";="";="";="";="";="";="";="";="";=""
="t";="1.261414";=".0382447";="1.791791";="-.3504494";=".6382924";="";="";="";="";=".";="-.0455758";="";="";="";="";="";="";="";="";=""
="p";=".2071599";=".9694926";=".0731665";=".7260015";=".5232833";="";="";="";="";=".";=".9636484";="";="";="";="";="";="";="";="";=""
="netdebt_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0011555";="-.0002109";="-.0023964";=".0000255";="-.0040676";="";="";="";="";="0";=".0043784";="";="";="";="";="";="";="";="";=""
="t";="-1.291047";="-.0382584";="-1.823552";=".3507252";="-.6475026";="";="";="";="";=".";=".0457167";="";="";="";="";="";="";="";="";=""
="p";=".1966875";=".9694817";=".0682198";=".7257945";=".5173067";="";="";="";="";=".";=".9635361";="";="";="";="";="";="";="";="";=""
="netdebt_ME2_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0002096";="-.0000383";="-.0004347";="4.62e-06";="-.0007378";="";="";="";="";="0";=".0008024";="";="";="";="";="";="";="";="";=""
="t";="-1.086543";="-.0381477";="-1.456193";=".3512932";="-.6103255";="";="";="";="";=".";=".045099";="";="";="";="";="";="";="";="";=""
="p";=".277239";=".9695699";=".1453392";=".7253684";=".5416462";="";="";="";="";=".";=".9640284";="";="";="";="";="";="";="";="";=""
="netdebt_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.006343";=".0031201";="-.0126618";=".0001903";="-.0191519";="";="";="";="";="";="";="0";="-.2134699";=".8704033";="1.956882";="2.58768";="3.277452";="3.465698";="4.242634";="1.393731"
="t";="-1.336406";=".1023234";="-1.885712";=".2116107";="-.6009447";="";="";="";="";="";="";=".";="-.5278391";="3.396623";="6.483434";="6.950419";="6.200792";="5.979091";="8.62051";="3.230469"
="p";=".1814165";=".9185";=".0593338";=".8324108";=".5478768";="";="";="";="";="";="";=".";=".597611";=".0006822";="8.97e-11";="3.64e-12";="5.62e-10";="2.24e-09";="0";=".0012359"
="netdebt_ME0_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0015072";="-.0007414";=".0030087";="-.0000452";=".0045509";="";="";="";="";="";="";="0";=".0471507";="";="";="";="";="";="";=""
="t";="1.320656";="-.1022213";="1.788046";="-.2108316";=".6041239";="";="";="";="";="";="";=".";=".5544217";="";="";="";="";="";="";=""
="p";=".1866162";=".918581";=".0737685";=".8330187";=".5457613";="";="";="";="";="";="";=".";=".5792903";="";="";="";="";="";="";=""
="netdebt_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0012132";=".0005968";="-.0024217";=".0000364";="-.0036631";="";="";="";="";="";="";="0";="-.0386654";="";="";="";="";="";="";=""
="t";="-1.362793";=".1021935";="-1.814967";=".2109124";="-.6106414";="";="";="";="";="";="";=".";="-.5443346";="";="";="";="";="";="";=""
="p";=".1729479";=".9186031";=".0695289";=".8329556";=".541437";="";="";="";="";="";="";=".";=".5862112";="";="";="";="";="";="";=""
="netdebt_ME2_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0002257";=".000111";="-.0004506";="6.77e-06";="-.0006816";="";="";="";="";="";="";="0";="-.0066041";="";="";="";="";="";="";=""
="t";="-1.108803";=".1025723";="-1.45193";=".2114221";="-.5866585";="";="";="";="";="";="";=".";="-.5725302";="";="";="";="";="";="";=""
="p";=".2675154";=".9183024";=".1465212";=".8325579";=".5574331";="";="";="";="";="";="";=".";=".5669629";="";="";="";="";="";="";=""
=""
