="",="fooup_sfgrossdebt",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="main:ngdpdpc_var",="main:ngdp_rpch",="main:extdebtpercgni_var",="main:ggxwdg_ngdp_var",="main:pcpipch",="main:0.defaultlastyear",="main:1.defaultlastyear",="main:0.defaultlast2years",="main:1.defaultlast2years",="main:0.defaultlast5years",="main:1.defaultlast5years",="main:0.defaultlast10years",="main:1.defaultlast10years",="cut1:_cons",="cut2:_cons",="sigma2_u:_cons"
="b",="-.0012363",="-.0029981",="-.0007509",="-.0002011",="-.0043239",="",="",="",="",="0",=".0141071",="",="",="",="",=""
="t",="-1.24812",="-.823053",="-.955018",="-.280996",="-.8345977",="",="",="",="",=".",=".2783113",="",="",="",="",=""
="p",=".2119871",=".4104779",=".3395686",=".7787135",=".4039443",="",="",="",="",=".",=".7807734",="",="",="",="",=""
="grossdebt_ME2_Def5",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0000509",="-.0001234",="-.0000309",="-8.28e-06",="-.000178",="",="",="",="",="0",=".0006126",="",="",="",="",=""
="t",="-.7831098",="-.8466407",="-.7035139",="-.2737915",="-.5826898",="",="",="",="",=".",=".2507996",="",="",="",="",=""
="p",=".4335626",=".3971954",=".4817355",=".7842448",=".5601022",="",="",="",="",=".",=".801969",="",="",="",="",=""
="grossdebt_OP_10",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0093296",="-.0195584",="-.0053763",="-.0016987",="-.0282592",="",="",="",="",="",="",="0",="-.0646833",="1.216643",="2.729425",="1.284983"
="t",="-1.311499",="-.7456529",="-.9623353",="-.3432201",="-.7801376",="",="",="",="",="",="",=".",="-.1755691",="5.196042",="8.02749",="3.298313"
="p",=".1896893",=".4558771",=".3358812",=".7314329",=".4353099",="",="",="",="",="",="",=".",=".8606325",="2.04e-07",="8.88e-16",=".0009727"
="grossdebt_ME0_Def10",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",=".0013435",=".0028165",=".0007742",=".0002446",=".0040695",="",="",="",="",="",="",="0",=".0090792",="",="",=""
="t",="1.24197",=".7273848",=".9411983",=".3434308",=".7542723",="",="",="",="",="",="",=".",=".1801013",="",="",=""
="p",=".2142476",=".4669903",=".3466032",=".7312744",=".4506857",="",="",="",="",="",="",=".",=".8570731",="",="",=""
="grossdebt_ME1_Def10",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0012904",="-.0027052",="-.0007436",="-.000235",="-.0039086",="",="",="",="",="",="",="0",="-.0087309",="",="",=""
="t",="-1.252372",="-.7208125",="-.9446601",="-.3433797",="-.7617805",="",="",="",="",="",="",=".",="-.1797691",="",="",=""
="p",=".2104344",=".4710249",=".3448324",=".7313128",=".446191",="",="",="",="",="",="",=".",=".8573338",="",="",=""
="grossdebt_ME2_Def10",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0000531",="-.0001114",="-.0000306",="-9.67e-06",="-.0001609",="",="",="",="",="",="",="0",="-.0003483",="",="",=""
="t",="-.7918853",="-.7591686",="-.7044193",="-.3314264",="-.5521052",="",="",="",="",="",="",=".",="-.1865558",="",="",=""
="p",=".4284275",=".4477517",=".4811717",=".7403224",=".5808763",="",="",="",="",="",="",=".",=".852009",="",="",=""
=""
