="",="fooup_smgrossdebt",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="main:ngdpdpc_var",="main:ngdp_rpch",="main:extdebtpercgni_var",="main:ggxwdg_ngdp_var",="main:pcpipch",="main:0.defaultlastyear",="main:1.defaultlastyear",="main:0.defaultlast2years",="main:1.defaultlast2years",="main:0.defaultlast5years",="main:1.defaultlast5years",="main:0.defaultlast10years",="main:1.defaultlast10years",="cut1:_cons",="cut2:_cons",="cut3:_cons",="cut4:_cons",="cut5:_cons",="cut6:_cons",="sigma2_u:_cons"
="grossdebt_OP_1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0065466",="-.0016801",="-.0124528",=".0001966",="-.0211482",="0",=".0268748",="",="",="",="",="",="",=".9024675",="1.982306",="2.608541",="3.291928",="3.479603",="4.259254",="1.340182"
="t",="-1.258321",="-.0644164",="-1.882835",=".055703",="-.6688312",=".",=".095426",="",="",="",="",="",="",="3.597056",="6.643402",="6.942097",="6.431995",="6.174563",="8.919533",="3.49217"
="p",=".2082756",=".9486387",=".0597228",=".9555784",=".5036032",=".",=".9239765",="",="",="",="",="",="",=".0003218",="3.07e-11",="3.86e-12",="1.26e-10",="6.63e-10",="0",=".0004791"
="grossdebt_ME0_Def1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",=".0015336",=".0003936",=".0029171",="-.000046",=".0049541",="0",="-.006368",="",="",="",="",="",="",="",="",="",="",="",="",=""
="t",="1.22623",=".0644025",="1.780161",="-.0557798",=".6686331",=".",="-.0943677",="",="",="",="",="",="",="",="",="",="",="",="",=""
="p",=".2201122",=".9486497",=".0750496",=".9555172",=".5037296",=".",=".9248171",="",="",="",="",="",="",="",="",="",="",="",="",=""
="grossdebt_ME1_Def1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0012389",="-.000318",="-.0023567",=".0000372",="-.0040023",="0",=".0051294",="",="",="",="",="",="",="",="",="",="",="",="",=""
