="",="fooup_mfbudgetbal",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="main:ngdpdpc_var",="main:ngdp_rpch",="main:extdebtpercgni_var",="main:budgetbal_ngdp_var",="main:pcpipch",="main:0.defaultlastyear",="main:1.defaultlastyear",="main:0.defaultlast2years",="main:1.defaultlast2years",="main:0.defaultlast5years",="main:1.defaultlast5years",="main:0.defaultlast10years",="main:1.defaultlast10years",="cut1:_cons",="cut2:_cons",="cut3:_cons",="cut4:_cons",="cut5:_cons",="sigma2_u:_cons"
="budgetbal_OP_1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",=".0172554",="-.0394342",=".007429",="-.0000328",="-.1039081",="0",="-.2674005",="",="",="",="",="",="",=".5939493",="1.979982",="3.019403",="3.553961",="4.261586",="1.769734"
="t",="1.709215",="-1.259727",="1.460659",="-.8778754",="-2.588583",=".",="-.6059336",="",="",="",="",="",="",="2.162025",="6.865425",="9.347219",="8.772437",="9.85516",="3.394192"
="p",=".0874111",=".2077678",=".1441092",=".3800113",=".0096372",=".",=".5445588",="",="",="",="",="",="",=".0306162",="6.63e-12",="0",="0",="0",=".0006883"
="budgetbal_ME0_Def1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0044626",=".0101985",="-.0019213",="8.48e-06",=".0268727",="0",=".0623325",="",="",="",="",="",="",="",="",="",="",="",=""
="t",="-1.607034",="1.212869",="-1.377678",=".8739033",="2.29288",=".",=".6666724",="",="",="",="",="",="",="",="",="",="",="",=""
="p",=".108047",=".2251799",=".1683029",=".3821709",=".0218549",=".",=".5049814",="",="",="",="",="",="",="",="",="",="",="",=""
="budgetbal_ME1_Def1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",=".0038876",="-.0088845",=".0016737",="-7.39e-06",="-.0234104",="0",="-.0553694",="",="",="",="",="",="",="",="",="",="",="",=""
="t",="1.667947",="-1.223645",="1.424645",="-.8744069",="-2.339942",=".",="-.660326",="",="",="",="",="",="",="",="",="",="",="",=""
="p",=".0953263",=".221086",=".1542599",=".3818967",=".0192868",=".",=".5090447",="",="",="",="",="",="",="",="",="",="",="",=""
="budgetbal_ME2_Def1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
