="";="fooup_sfbudgetbal";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:budgetbal_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="cut1:_cons";="cut2:_cons";="sigma2_u:_cons"
="budgetbal_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0082666";="-.0173996";="-.0059197";="-.0000355";="-.0309595";="0";=".3896678";="";="";="";="";="";="";="1.288531";="2.807889";="1.31418"
="t";="-1.174787";="-.7472075";="-1.114757";="-1.524662";="-.8897147";=".";=".9015323";="";="";="";="";="";="";="5.369733";="7.909133";="3.434177"
="p";=".2400801";=".4549383";=".2649547";=".1273435";=".3736191";=".";=".3673053";="";="";="";="";="";="";="7.89e-08";="2.66e-15";=".0005944"
="budgetbal_ME0_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0011764";=".0024761";=".0008424";="5.05e-06";=".0044058";="0";="-.0682481";="";="";="";="";="";="";="";="";=""
="t";="1.123247";=".7232497";="1.072456";="1.404191";=".8500131";=".";="-.7340513";="";="";="";="";="";="";="";="";=""
="p";=".2613326";=".4695265";=".2835154";=".1602621";=".3953178";=".";=".4629175";="";="";="";="";="";="";="";="";=""
="budgetbal_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0011287";="-.0023757";="-.0008083";="-4.84e-06";="-.0042272";="0";=".0648274";="";="";="";="";="";="";="";="";=""
="t";="-1.134689";="-.7155734";="-1.07693";="-1.413406";="-.8601776";=".";=".7435708";="";="";="";="";="";="";="";="";=""
="p";=".2565057";=".4742548";=".2815116";=".1575362";=".3896911";=".";=".4571362";="";="";="";="";="";="";="";="";=""
="budgetbal_ME2_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0000477";="-.0001004";="-.0000341";="-2.05e-07";="-.0001786";="0";=".0034207";="";="";="";="";="";="";="";="";=""
="t";="-.7332495";="-.7840712";="-.7600704";="-.8065712";="-.5929159";=".";=".5365513";="";="";="";="";="";="";="";="";=""
="p";=".4634063";=".4329984";=".4472125";=".4199136";=".5532374";=".";=".5915776";="";="";="";="";="";="";="";="";=""
="budgetbal_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0078";="-.0203271";="-.006442";="-.0000387";="-.0333844";="";="";="0";=".4797282";="";="";="";="";="1.297395";="2.822782";="1.331075"
="t";="-1.144344";="-.9055241";="-1.218729";="-1.833745";="-.9378735";="";="";=".";="1.180965";="";="";="";="";="5.446516";="8.033512";="3.408719"
