="";="fooup_smbudgetbal";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:budgetbal_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="cut1:_cons";="cut2:_cons";="cut3:_cons";="cut4:_cons";="cut5:_cons";="cut6:_cons";="sigma2_u:_cons"
="budgetbal_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0071206";="-.0038509";="-.0122623";=".000074";="-.0217141";="0";="-.0131823";="";="";="";="";="";="";=".8867324";="1.968083";="2.595271";="3.277003";="3.46242";="4.241505";="1.330918"
="t";="-1.513165";="-.1368274";="-1.876702";="1.478815";="-.6826894";=".";="-.0439937";="";="";="";="";="";="";="3.553551";="6.623718";="6.942269";="6.346822";="6.116277";="8.844724";="3.469"
="p";=".1302377";=".8911672";=".0605589";=".1391899";=".4948031";=".";=".9649094";="";="";="";="";="";="";=".0003801";="3.50e-11";="3.86e-12";="2.20e-10";="9.58e-10";="0";=".0005224"
="budgetbal_ME0_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0016651";=".0009005";=".0028674";="-.0000173";=".0050776";="0";=".0030651";="";="";="";="";="";="";="";="";="";="";="";="";=""
="t";="1.489849";=".1367554";="1.785302";="-1.445245";=".6819198";=".";=".0442402";="";="";="";="";="";="";="";="";="";="";="";="";=""
="p";=".1362641";=".8912242";=".0742123";=".148389";=".4952896";=".";=".9647129";="";="";="";="";="";="";="";="";="";="";="";="";=""
="budgetbal_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0013443";="-.000727";="-.002315";=".000014";="-.0040993";="0";="-.0024781";="";="";="";="";="";="";="";="";="";="";="";="";=""
="t";="-1.536178";="-.1368415";="-1.812586";="1.445063";="-.6912878";=".";="-.0441464";="";="";="";="";="";="";="";="";="";="";="";="";=""
="p";=".1244947";=".891156";=".0698957";=".1484402";=".4893847";=".";=".9647877";="";="";="";="";="";="";="";="";="";="";="";="";=""
="budgetbal_ME2_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0002464";="-.0001333";="-.0004244";="2.56e-06";="-.0007515";="0";="-.0004514";="";="";="";="";="";="";="";="";="";="";="";="";=""
="t";="-1.222416";="-.1357541";="-1.461342";="1.242919";="-.6534215";=".";="-.0445038";="";="";="";="";="";="";="";="";="";="";="";="";=""
="p";=".2215505";=".8920157";=".1439217";=".2138976";=".5134846";=".";=".9645028";="";="";="";="";="";="";="";="";="";="";="";="";=""
="budgetbal_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0066223";="-.0070656";="-.0124834";=".0000711";="-.025096";="";="";="0";=".2878344";="";="";="";="";=".9091793";="1.993687";="2.621557";="3.300838";="3.486206";="4.267096";="1.326131"
="t";="-1.416827";="-.2460882";="-1.916167";="1.503257";="-.7590174";="";="";=".";=".7064927";="";="";="";="";="3.63728";="6.810388";="7.099461";="6.40872";="6.209565";="8.98346";="3.462342"
