="",="foodw_mfnetdebt",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="main:ngdpdpc_var",="main:ngdp_rpch",="main:extdebtpercgni_var",="main:ggxwdn_ngdp_var",="main:pcpipch",="main:0.defaultlastyear",="main:1.defaultlastyear",="main:0.defaultlast2years",="main:1.defaultlast2years",="main:0.defaultlast5years",="main:1.defaultlast5years",="main:0.defaultlast10years",="main:1.defaultlast10years",="cut1:_cons",="cut2:_cons",="cut3:_cons",="sigma2_u:_cons"
="p",=".6861986",=".7420939",=".254097",=".1620048",=".9006801",="",="",="",="",=".",=".9025651",="",="",="",="",="",=""
="netdebt_ME1_Def5",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.000339",=".0013945",="-.0009313",="1.42e-06",=".0006612",="",="",="",="",="0",="-.0047291",="",="",="",="",="",=""
="t",="-.4043429",=".3297605",="-1.183046",="1.448358",=".1245316",="",="",="",="",=".",="-.1223731",="",="",="",="",="",=""
="p",=".6859606",=".7415809",=".236791",=".1475169",=".9008944",="",="",="",="",=".",=".9026035",="",="",="",="",="",=""
="netdebt_ME2_Def5",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0000617",=".0002537",="-.0001694",="2.58e-07",=".0001203",="",="",="",="",="0",="-.0008467",="",="",="",="",="",=""
="t",="-.3932736",=".3167013",="-.9262404",="1.116325",=".1253345",="",="",="",="",=".",="-.1217962",="",="",="",="",="",=""
="p",=".6941174",=".7514703",=".354321",=".2642832",=".9002587",="",="",="",="",=".",=".9030604",="",="",="",="",="",=""
="netdebt_OP_10",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0030846",=".0182412",="-.0082182",=".0000129",=".0113034",="",="",="",="",="",="",="0",="-.3708361",="1.474967",="2.408069",="3.230076",="1.16884"
="t",="-.425536",=".4740158",="-1.209752",="1.595861",=".24108",="",="",="",="",="",="",=".",="-.8518334",="4.153673",="6.036759",="6.257822",="2.732812"
="p",=".670446",=".6354887",=".2263742",=".1105198",=".8094931",="",="",="",="",="",="",=".",=".3943066",=".0000327",="1.57e-09",="3.90e-10",=".0062796"
="netdebt_ME0_Def10",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",=".0004172",="-.0024675",=".0011117",="-1.75e-06",="-.001529",="",="",="",="",="",="",="0",=".0419816",="",="",="",=""
="t",=".4235037",="-.4673286",="1.122992",="-1.393489",="-.2419613",="",="",="",="",="",="",=".",=".953619",="",="",="",=""
="p",=".6719278",=".6402648",=".2614409",=".163472",=".8088102",="",="",="",="",="",="",=".",=".3402765",="",="",="",=""
="netdebt_ME1_Def10",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0003459",=".0020456",="-.0009216",="1.45e-06",=".0012676",="",="",="",="",="",="",="0",="-.0355544",="",="",="",=""
="t",="-.4246156",=".4703171",="-1.163931",="1.459617",=".2410755",="",="",="",="",="",="",=".",="-.9643136",="",="",="",=""
="p",=".6711169",=".6381285",=".2444519",=".1443955",=".8094966",="",="",="",="",="",="",=".",=".3348887",="",="",="",=""
="netdebt_ME2_Def10",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0000639",=".0003777",="-.0001702",="2.68e-07",=".000234",="",="",="",="",="",="",="0",="-.0058156",="",="",="",=""
="t",="-.4086094",=".4348022",="-.9144806",="1.103607",=".2425194",="",="",="",="",="",="",=".",="-.8185575",="",="",="",=""
="p",=".6828264",=".663706",=".3604644",=".2697638",=".8083777",="",="",="",="",="",="",=".",=".4130389",="",="",="",=""
=""
