="",="fooup_mfgrossdebt",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="main:ngdpdpc_var",="main:ngdp_rpch",="main:extdebtpercgni_var",="main:ggxwdg_ngdp_var",="main:pcpipch",="main:0.defaultlastyear",="main:1.defaultlastyear",="main:0.defaultlast2years",="main:1.defaultlast2years",="main:0.defaultlast5years",="main:1.defaultlast5years",="main:0.defaultlast10years",="main:1.defaultlast10years",="cut1:_cons",="cut2:_cons",="cut3:_cons",="cut4:_cons",="cut5:_cons",="sigma2_u:_cons"
="grossdebt_ME0_Def5",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.004703",=".0079542",="-.0019013",="-.0010455",=".0270322",="",="",="",="",="0",=".0873855",="",="",="",="",="",="",="",=""
="t",="-1.624058",=".9926489",="-1.363803",="-.9373928",="2.241901",="",="",="",="",=".",="1.179367",="",="",="",="",="",="",="",=""
="p",=".1043635",=".3208811",=".1726294",=".3485566",=".0249677",="",="",="",="",=".",=".2382519",="",="",="",="",="",="",="",=""
="grossdebt_ME1_Def5",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",=".0040884",="-.0069147",=".0016528",=".0009089",="-.0234996",="",="",="",="",="0",="-.078019",="",="",="",="",="",="",="",=""
="t",="1.687369",="-.997876",="1.407601",=".9408281",="-2.282124",="",="",="",="",=".",="-1.174611",="",="",="",="",="",="",="",=""
="p",=".0915324",=".3183395",=".1592493",=".346793",=".022482",="",="",="",="",=".",=".2401506",="",="",="",="",="",="",="",=""
="grossdebt_ME2_Def5",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",=".0005655",="-.0009565",=".0002286",=".0001257",="-.0032506",="",="",="",="",="0",="-.0086832",="",="",="",="",="",="",="",=""
="t",="1.143871",="-.8705114",="1.037064",=".8347036",="-1.457022",="",="",="",="",=".",="-1.051318",="",="",="",="",="",="",="",=""
="p",=".2526771",=".384021",=".2997061",=".4038846",=".1451104",="",="",="",="",=".",=".2931123",="",="",="",="",="",="",="",=""
="grossdebt_OP_10",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",=".0181333",="-.0311647",=".0074426",=".0041396",="-.1047805",="",="",="",="",="",="",="0",="-.0920692",=".6314461",="2.020453",="3.058406",="3.588482",="4.291879",="1.772771"
="t",="1.721734",="-1.033609",="1.494038",=".9682728",="-2.533283",="",="",="",="",="",="",=".",="-.2582365",="2.303004",="6.869767",="8.808225",="8.497711",="9.701135",="3.373932"
="p",=".0851178",=".3013189",=".1351658",=".3329081",=".0113",="",="",="",="",="",="",=".",=".7962244",=".0212786",="6.43e-12",="0",="0",="0",=".000741"
="grossdebt_ME0_Def10",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0046905",=".0080614",="-.0019252",="-.0010708",=".0271036",="",="",="",="",="",="",="0",=".0232213",="",="",="",="",="",=""
="t",="-1.615537",="1.008838",="-1.398029",="-.9494381",="2.272384",="",="",="",="",="",="",=".",=".2626302",="",="",="",="",="",=""
="p",=".1061944",=".3130524",=".1621044",=".3423978",=".0230633",="",="",="",="",="",="",=".",=".7928356",="",="",="",="",="",=""
="grossdebt_ME1_Def10",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",=".0040902",="-.0070296",=".0016788",=".0009337",="-.0236344",="",="",="",="",="",="",="0",="-.0203779",="",="",="",="",="",=""
="t",="1.681781",="-1.013866",="1.450426",=".9532272",="-2.31638",="",="",="",="",="",="",=".",="-.2621574",="",="",="",="",="",=""
="p",=".0926112",=".3106469",=".1469397",=".340475",=".0205375",="",="",="",="",="",="",=".",=".7932001",="",="",="",="",="",=""
="grossdebt_ME2_Def10",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",=".0005542",="-.0009525",=".0002275",=".0001265",="-.0032025",="",="",="",="",="",="",="0",="-.0026273",="",="",="",="",="",=""
="t",="1.12653",="-.8810082",="1.032661",=".8406217",="-1.452095",="",="",="",="",="",="",=".",="-.2644237",="",="",="",="",="",=""
="p",=".2599412",=".3783134",=".3017624",=".4005599",=".1464751",="",="",="",="",="",="",=".",=".7914535",="",="",="",="",="",=""
=""
