="b",="-.0020231",=".0019291",=".0000173",="-1.02e-06",=".0056631",="",="",="",="",="0",=".0394657",="",="",="",="",=""
="t",="-1.829187",=".4356782",=".0423799",="-.9646495",="1.366224",="",="",="",="",=".",=".8401207",="",="",="",="",=""
="p",=".0673717",=".6630702",=".9661959",=".3347204",=".1718685",="",="",="",="",=".",=".4008407",="",="",="",="",=""
="netdebt_ME2_Def5",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0000572",=".0000545",="4.89e-07",="-2.89e-08",=".0001601",="",="",="",="",="0",=".0012952",="",="",="",="",=""
="t",="-.8968646",=".3858031",=".0424876",="-.738785",=".8187279",="",="",="",="",=".",=".6053645",="",="",="",="",=""
="p",=".3697912",=".6996425",=".96611",=".4600376",=".4129417",="",="",="",="",=".",=".5449368",="",="",="",="",=""
="netdebt_OP_10",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0178649",=".0204676",=".0000747",="-9.20e-06",=".0607044",="",="",="",="",="",="",="0",="-.4675975",="1.647938",="3.242842",="1.378442"
="t",="-2.085195",=".5039414",=".0199807",="-.9135848",="1.432669",="",="",="",="",="",="",=".",="-1.359273",="4.900104",="9.074882",="3.03992"
="p",=".0370516",=".6143025",=".9840588",=".3609351",=".1519524",="",="",="",="",="",="",=".",=".1740602",="9.58e-07",="0",=".0023664"
="netdebt_ME0_Def10",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",=".002152",="-.0024655",="-9.00e-06",="1.11e-06",="-.0073123",="",="",="",="",="",="",="0",=".0451263",="",="",=""
="t",="1.779941",="-.4953501",="-.019986",=".8803679",="-1.401104",="",="",="",="",="",="",=".",="1.379024",="",="",=""
="p",=".0750857",=".620353",=".9840545",=".37866",=".161183",="",="",="",="",="",="",=".",=".1678872",="",="",=""
="netdebt_ME1_Def10",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0020845",=".0023882",="8.71e-06",="-1.07e-06",=".0070832",="",="",="",="",="",="",="0",="-.0439675",="",="",=""
="t",="-1.8204",=".4971082",=".0199851",="-.8885165",="1.4191",="",="",="",="",="",="",=".",="-1.375707",="",="",=""
="p",=".0686982",=".6191127",=".9840552",=".374263",=".15587",="",="",="",="",="",="",=".",=".1689123",="",="",=""
="netdebt_ME2_Def10",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0000674",=".0000773",="2.82e-07",="-3.47e-08",=".0002291",="",="",="",="",="",="",="0",="-.0011588",="",="",=""
="t",="-.9243359",=".4306946",=".0200386",="-.7239967",=".8664027",="",="",="",="",="",="",=".",="-1.024366",="",="",=""
="p",=".3553115",=".6666904",=".9840126",=".4690678",=".3862694",="",="",="",="",="",="",=".",=".3056624",="",="",=""
=""
