Country2Code;Year;Diff_UP_SM;NGDPDPC;NGDP_RPCH;ExtDebtPercGNI;GGXWDG_NGDP;GGXWDN_NGDP;GGSB_NPGDP;DefaultLastYear;DefaultLast2Years;DefaultLast5Years;DefaultLast10Years;PCPIPCH
AU;1985;0;10961.083;5.456;0;0;0;0;0;0;0;0;6.735
AU;1986;0;11238.546;2.448;0;0;0;0;0;0;0;0;9.05
AU;1987;0;12990.957;4.893;0;0;0;0;0;0;0;0;8.533
AU;1988;0;16181.08;4.253;0;0;0;0;0;0;0;0;7.27
AU;1989;0;18133.497;4.599;0;9.944;17.058;0;0;0;0;0;7.58
AU;1990;0;18812.835;1.513;0;9.592;16.455;-0.281;0;0;0;0;7.233
AU;1991;0;18641.327;-1.096;0;12.612;21.636;-2;0;0;0;0;3.307
AU;1992;0;18074.778;2.652;0;18.234;27.658;-3.716;0;0;0;0;0.969
AU;1993;0;17440.461;3.959;0;22.048;30.66;-3.952;0;0;0;0;1.752
AU;1994;0;19696.732;4.872;0;23.277;31.77;-3.178;0;0;0;0;1.927
AU;1995;0;20930.502;2.968;0;23.066;31.131;-1.992;0;0;0;0;4.626
AU;1996;0;23181.657;4.28;0;21.298;29.314;-0.814;0;0;0;0;2.653
AU;1997;0;22962.708;4.307;0;18.191;25.925;0.123;0;0;0;0;0.225
AU;1998;0;20307.155;4.647;0;14.663;23.756;0.185;0;0;0;0;0.859
AU;1999;1;21739.389;4.306;0;11.042;22.576;0.943;0;0;0;0;1.408
AU;2000;1;20744.395;3.185;0;7.149;19.57;1.33;0;0;0;0;4.457
AU;2001;1;19405.479;2.488;0;4.704;17.18;0.133;0;0;0;0;4.407
AU;2003;0;27087.866;2.969;0;0.755;13.22;1.028;0;0;0;0;2.763
AU;2004;0;32710.866;4.062;0;-1.23;11.943;1.259;0;0;0;0;2.309
AU;2005;0;36135.28;3.189;0;-3.814;10.892;1.677;0;0;0;0;2.659
AU;2006;0;37853.462;2.694;0;-6.323;9.966;1.711;0;0;0;0;3.554
AU;2007;0;45030.998;4.488;0;-7.271;9.682;1.231;0;0;0;0;2.356
AU;2008;0;48242.935;2.627;0;-5.294;11.743;-1.383;0;0;0;0;4.348
AU;2009;0;44928.143;1.762;0;-0.597;16.745;-4.479;0;0;0;0;1.77
AU;2010;0;56194.752;2.297;0;3.927;20.48;-4.894;0;0;0;0;2.863
AU;2011;0;66721.599;2.678;0;8.062;24.2;-4.211;0;0;0;0;3.33
AU;2012;0;68002.653;3.545;0;11.207;27.797;-3.188;0;0;0;0;1.712
AU;2013;0;64464.056;2.035;0;13.202;30.823;-2.419;0;0;0;0;2.475
AU;2014;0;61062.605;2.616;0;15.722;34.14;-2.376;0;0;0;0;2.464
AU;2015;0;50961.865;2.479;0;17.902;36.827;-2.157;0;0;0;0;1.532
AT;1980;0;10707.968;2.314;0;0;0;0;0;0;0;0;6.325
AT;1981;0;9259.984;-0.099;0;0;0;0;0;0;0;0;6.807
AT;1982;0;9246.949;1.908;0;0;0;0;0;0;0;0;5.44
AT;1983;0;9396.186;2.804;0;0;0;0;0;0;0;0;3.335
AT;1984;0;8862.776;0.332;0;0;0;0;0;0;0;0;5.665
AT;1985;0;9070.476;2.243;0;0;0;0;0;0;0;0;3.19
AT;1986;0;12857.293;2.341;0;0;0;0;0;0;0;0;1.737
AT;1987;0;16057.045;1.681;0;0;0;0;0;0;0;0;1.408
AT;1988;0;17593.403;0.961;0;0;57.493;0;0;0;0;0;1.868
AT;1989;0;17508.59;3.887;0;0;56.458;0;0;0;0;0;2.249
AT;1990;0;21778.653;4.346;0;0;56.057;0;0;0;0;0;2.764
AT;1991;0;22571.318;3.442;0;0;56.26;-3.986;0;0;0;0;3.118
AT;1992;0;25012.367;2.094;0;0;56.153;-2.64;0;0;0;0;3.425
AT;1993;0;24098.675;0.527;0;0;60.765;-3.675;0;0;0;0;3.238
AT;1994;0;25668.057;2.402;0;0;63.863;-4.596;0;0;0;0;2.71
AT;1995;0;30307.415;2.668;0;0;68.017;-6.654;0;0;0;0;1.601
AT;1996;0;29778.136;2.398;0;0;67.959;-4.655;0;0;0;0;1.793
AT;1997;0;26693.033;2.205;0;0;63.194;-2.485;0;0;0;0;1.157
AT;1998;0;27348.041;3.56;0;0;63.606;-2.879;0;0;0;0;0.824
AT;1999;0;27185.686;3.59;0;0;66.426;-2.765;0;0;0;0;0.515
AT;2000;0;24617.957;3.368;0;0;65.864;-3.476;0;0;0;0;1.959
AT;2001;0;24576.15;1.351;0;0;66.484;-1.201;0;0;0;0;2.295
AT;2002;0;26504.851;1.656;0;0;66.291;-1.061;0;0;0;0;1.7
AT;2003;0;32248.219;0.756;0;0;65.492;-0.648;0;0;0;0;1.296
AT;2004;0;36875.712;2.706;0;0;64.802;-1.426;0;0;0;0;1.95
AT;2005;0;38430.936;2.141;0;0;68.315;-1.912;0;0;0;0;2.108
AT;2006;0;40536.772;3.351;0;0;67.044;-2.981;0;0;0;0;1.69
AT;2007;0;46721.565;3.621;0;0;64.808;-3.508;0;0;0;0;2.203
AT;2008;0;51713.796;1.547;0;0;68.518;-3.212;0;0;0;0;3.223
AT;2009;0;47822.731;-3.799;0;0;79.726;-2.685;0;0;0;0;0.401
AT;2010;0;46810.127;1.929;0;0;82.288;-3.123;0;0;0;0;1.69
AT;2011;0;51274.068;2.808;0;0;82.07;-2.479;0;0;0;0;3.552
AZ;2014;0;8055.211;2.8;16.1;0;16.036;0;0;0;0;0;1.351
AZ;2015;0;5739.433;1.1;0;0;36.11;0;0;0;0;0;4.04
BE;1992;0;22952.524;1.531;0;0;133.923;-9.03;0;0;0;0;2.257
BE;1993;0;21843.982;-0.962;0;0;138.141;-6.456;0;0;0;0;2.485
BE;1994;0;23754.018;3.227;0;0;136.309;-4.588;0;0;0;0;2.396
BE;1995;0;28616.748;2.385;0;0;130.545;-3.881;0;0;0;0;1.267
BE;1996;0;27749.785;1.593;0;0;127.973;-3.048;0;0;0;0;1.765
BE;1997;0;25089.911;3.71;0;0;123.206;-1.894;0;0;0;0;1.503
BE;1998;0;25604.828;1.975;0;89.934;118.197;-0.571;0;0;0;0;0.907
BE;1999;0;25509.139;3.563;0;85.114;114.383;-0.724;0;0;0;0;1.135
BE;2000;0;23303.129;3.634;0;79.931;108.769;-0.834;0;0;0;0;2.679
BE;2001;0;23193.675;0.812;0;76.184;107.56;0.003;0;0;0;0;2.435
BE;2002;0;25197.253;1.781;0;73.221;104.686;0.043;0;0;0;0;1.548
BE;2003;0;30863.069;0.774;0;72.084;101.087;-0.95;0;0;0;0;1.517
BE;2004;0;35722.715;3.635;0;66.043;96.501;-0.976;0;0;0;0;1.857
BE;2005;0;37146.684;2.094;0;64.234;94.606;-0.46;0;0;0;0;2.536
BE;2006;0;39021.772;2.499;0;60.902;90.935;-0.68;0;0;0;0;2.329
BE;2007;0;44638.265;3.398;0;54.249;86.925;-0.794;0;0;0;0;1.816
BE;2008;0;48850.706;0.747;0;55.051;92.428;-1.789;0;0;0;0;4.49
BE;2009;0;45176.025;-2.285;0;61.012;99.462;-4.055;0;0;0;0;-0.006
BE;2010;0;44691.319;2.695;0;59.512;99.616;-3.943;0;0;0;0;2.334
BE;2011;1;47950.985;1.797;0;60.733;102.246;-4.221;0;0;0;0;3.353
BE;2012;1;44890.68;0.151;0;62.404;104.06;-3.646;0;0;0;0;2.626
BE;2013;1;46728.38;0.017;0;63.477;105.057;-2.887;0;0;0;0;1.247
BE;2014;1;47517.972;1.348;0;63.194;106.655;-2.901;0;0;0;0;0.491
BE;2015;1;40106.632;1.371;0;63.819;106.313;-2.328;0;0;0;0;0.62
BG;1998;0;1631.196;4.861;79.4;0;76.537;0;1;1;1;1;18.671
BG;1999;0;1672.897;-0.494;88.99;0;79.442;0;1;1;1;1;2.573
BG;2000;1;1613.33;5.011;93.64;22.245;73.887;0.949;1;1;1;1;10.317
BG;2001;1;1791.296;4.248;79.62;16.336;67.289;1.158;1;1;1;1;7.365
BG;2002;2;2085.266;6.018;73.72;7.752;53.543;0.498;1;1;1;1;5.807
BG;2003;1;2701.602;5.078;66.58;-8.895;45.579;1.077;1;1;1;1;2.348
BG;2004;1;3362.251;6.556;62.96;-12.727;37.855;2.014;0;1;1;1;6.149
BG;2005;2;3863.419;7.236;59.61;-7.397;28.517;1.494;1;1;1;1;6.041
BG;2006;2;4467.214;6.753;81.46;-10.112;22.658;1.813;0;1;1;1;7.418
BG;2007;2;5859.049;7.675;102.76;-9.617;17.457;0.399;0;0;1;1;7.571
BG;2008;1;7186.104;5.647;99.14;-12.905;14.652;-0.5;0;0;1;1;11.95
BG;2009;1;6846.324;-4.22;110.59;-12.991;14.608;-1.389;0;0;1;1;2.472
BG;2010;1;6654.346;0.055;103.83;-13.01;14.275;-3.831;0;0;0;1;3.036
BG;2011;0;7772.629;1.584;86.46;-10.956;14.518;-1.711;0;0;0;1;3.389
BG;2012;0;7357.128;0.237;96.88;-9.861;16.768;0.298;0;0;0;1;2.389
BG;2013;0;7685.191;1.282;96.89;-7.747;17.224;-0.979;0;0;0;1;0.383
BA;2008;1;4784.496;5.594;49.55;21.601;30.888;-6.356;0;0;0;1;7.434
BA;2009;1;4508.159;-0.816;61.97;26.736;35.069;-6.165;0;0;0;1;-0.381
BA;2010;1;4404.37;0.767;56.96;35.908;42.754;-4.264;1;1;1;1;2.123
BA;2011;0;4788.774;0.908;54.13;36.709;42.649;-2.565;0;1;1;1;3.675
BA;2012;1;4430.534;-0.933;60.99;38.497;44.254;-1.248;0;0;1;1;2.049
BA;2013;1;4681.919;2.394;60.25;38.172;43.498;-0.609;0;0;1;1;-0.093
BA;2014;1;4784.815;1.082;56.8;37.488;44.027;-1.356;1;1;1;1;-0.9
BA;2015;1;4088.212;2.8;0;39.084;45.495;-0.164;0;1;1;1;-1.018
BY;2010;0;5812.73;7.741;52.54;0;39.502;0;1;1;1;1;7.743
BY;2011;0;6300.453;5.544;57.62;0;45.95;0;1;1;1;1;53.228
BY;2012;0;6721.125;1.731;54.33;0;39.086;0;1;1;1;1;59.218
BY;2013;0;7723.755;1.024;56.24;0;38.704;0;1;1;1;1;18.303
BY;2014;0;8041.746;1.588;54.28;0;40.434;0;1;1;1;1;18.107
BY;2015;1;5749.119;-3.894;0;0;59.908;0;1;1;1;1;13.523
BZ;2000;0;3330.955;13.02;67.78;0;0;0;0;0;1;1;0.614
BZ;2005;0;3818.446;2.578;98.9;95.893;95.893;0;1;1;1;1;3.651
BZ;2007;2;4143.093;1.106;92.66;85.976;85.976;0;1;1;1;1;2.318
BZ;2008;2;4252.108;3.229;104.08;79.75;79.75;0;1;1;1;1;6.394
BZ;2009;1;4145.949;0.713;101.97;83.663;83.663;0;1;1;1;1;-1.104
BZ;2010;1;4321.294;3.324;102.25;83.212;83.212;0;1;1;1;1;0.918
BZ;2011;0;4481.989;2.104;90.82;79.393;79.393;0;1;1;1;1;1.695
BZ;2013;2;4644.45;1.526;82.84;75.224;75.224;0;1;1;1;1;0.51
BZ;2014;2;4760.282;3.573;81.55;75.33;75.33;0;1;1;1;1;1.201
BZ;2015;2;4841.735;1.472;0;76.258;76.258;0;1;1;1;1;-0.595
BR;1994;0;3569.459;5.335;28.47;0;0;0;1;1;1;1;2075.827
BR;1995;0;4950.301;4.417;21.23;0;0;0;1;1;1;1;66.008
BR;1996;0;5273.89;2.208;21.92;0;0;0;1;1;1;1;15.757
BR;1997;1;5394.64;3.395;22.66;0;0;0;1;1;1;1;6.926
BR;1998;2;5197.032;0.338;29.31;0;0;0;1;1;1;1;3.196
BR;1999;1;3552.143;0.469;43.11;0;0;0;1;1;1;1;4.859
BR;2000;0;3778.965;4.386;38.67;46.966;65.561;-3.52;1;1;1;1;7.044
BR;2001;1;3183.794;1.392;43.04;51.486;70.054;-2.864;1;1;1;1;6.84
BR;2002;1;2859.599;3.053;47.68;59.934;78.798;-4.002;1;1;1;1;8.45
BR;2003;1;3090.663;1.14;44.14;54.259;73.823;-3.96;0;1;1;1;14.714
BR;2004;1;3659.099;5.761;34.29;50.186;70.077;-2.606;1;1;1;1;6.598
BR;2005;0;4815.707;3.202;22;47.915;68.585;-3.196;1;1;1;1;6.87
BR;2006;0;5912.55;3.961;18.82;46.486;65.845;-3.335;1;1;1;1;4.184
BR;2007;0;7374.075;6.072;18.01;44.143;63.743;-3.305;1;1;1;1;3.641
BR;2008;1;8854.162;5.094;16.32;37.097;61.868;-2.612;1;1;1;1;5.678
BR;2009;0;8624.419;-0.126;17.48;40.363;64.944;-3.392;1;1;1;1;4.888
BR;2010;0;11297.838;7.529;16.2;37.979;63.045;-4.531;1;1;1;1;5.039
BR;2011;0;13234.243;3.91;15.72;34.492;61.242;-4.069;1;1;1;1;6.636
BR;2012;0;12344.411;1.915;18.51;32.254;62.31;-3.892;1;1;1;1;5.404
BR;2013;0;12260.116;3.015;20.49;30.591;60.364;-4.875;1;1;1;1;6.204
BB;1999;7;11327.815;0.326;0;29.061;34.296;0;0;0;0;0;1.525
BB;2000;5;11600.274;4.453;0;32.159;39.868;0;0;0;0;0;0.834
BB;2001;5;11547.3;-2.367;0;36.319;46.189;0;0;0;0;0;2.579
BB;2002;5;11704.643;0.791;0;32.274;47.333;0;0;0;0;0;0.393
BB;2003;5;12057.687;2.171;0;30.103;47.171;0;0;0;0;0;1.566
BB;2004;1;12887.323;1.407;0;28.438;47.647;0;0;0;0;0;1.43
BB;2005;1;14255.485;3.965;0;26.923;46.068;0;0;0;0;0;6.054
BB;2006;1;15705.353;5.669;0;29.415;48.43;0;0;0;0;0;7.34
BB;2007;1;16549.321;1.764;0;31.419;51.415;0;0;0;0;0;4.016
BB;2008;1;16691.75;0.396;0;34.926;53.88;0;0;0;0;0;8.105
BB;2009;1;16680.657;-4.032;0;44.611;63.049;0;0;0;0;0;3.718
BB;2010;0;16079.887;0.256;0;47.59;70.221;0;0;0;0;0;5.748
BB;2011;0;15725.976;0.756;0;50.104;76.146;0;0;0;0;0;9.426
BB;2012;0;15593.34;0.28;0;58.744;84.206;0;0;0;0;0;4.539
BB;2013;0;15698.42;-0.036;0;69.566;94.739;0;0;0;0;0;1.823
BB;2014;1;15596.534;0.226;0;71.766;98.366;0;0;0;0;0;1.868
BB;2015;1;15773.555;0.468;0;75.415;103.012;0;0;0;0;0;0.547
CA;1994;0;19963.295;4.494;0;66.347;97.785;-5.561;0;0;0;0;0.136
CA;1995;1;20641.543;2.678;0;67.779;100.404;-4.357;0;0;0;0;2.189
CA;1996;1;21257.09;1.611;0;67.473;100.573;-1.376;0;0;0;0;1.58
CA;1997;1;21857.611;4.28;0;63.478;95.591;0.993;0;0;0;0;1.612
CA;1998;1;20975.139;3.882;0;59.352;93.614;0.692;0;0;0;0;0.987
CA;1999;1;22261.148;5.163;0;52.557;89.273;1.207;0;0;0;0;1.744
CA;2000;0;24221.265;5.183;0;43.891;80.706;1.189;0;0;0;0;2.738
CA;2001;0;23777.486;1.771;0;41.448;81.75;-0.177;0;0;0;0;2.507
CA;2002;0;24210.039;3.01;0;39.262;79.888;-0.945;0;0;0;0;2.276
CA;2003;0;28242.185;1.802;0;36.927;76.181;-0.419;0;0;0;0;2.742
CA;2004;0;32075.361;3.086;0;32.387;72.135;0.216;0;0;0;0;1.841
CA;2005;0;36315.727;3.201;0;28.384;70.868;0.635;0;0;0;0;2.23
CA;2006;0;40441.766;2.623;0;25.523;70.126;0.719;0;0;0;0;2.018
CA;2007;0;44599.148;2.063;0;22.071;66.844;0.74;0;0;0;0;2.131
CA;2008;0;46660.868;1;0;18.449;67.834;-0.379;0;0;0;0;2.385
CA;2009;0;40831.097;-2.95;0;24.354;79.283;-1.809;0;0;0;0;0.299
CA;2010;0;47512.679;3.083;0;26.785;81.097;-3.396;0;0;0;0;1.769
CA;2011;0;52142.718;3.141;0;27.143;81.513;-2.693;0;0;0;0;2.89
CA;2012;0;52574.868;1.746;0;28.221;84.84;-1.855;0;0;0;0;1.53
CA;2013;0;52345.308;2.218;0;29.376;86.08;-1.415;0;0;0;0;0.925
CA;2014;0;50252.088;2.473;0;28.068;86.201;-0.537;0;0;0;0;1.92
CA;2015;0;43331.961;1.175;0;26.674;91.466;-1.283;0;0;0;0;1.105
CL;1999;1;4950.723;-0.709;0;1.635;13.34;0;0;0;0;1;3.337
CL;2000;1;5064.474;4.469;0;3.082;13.191;0;0;0;0;1;3.843
CL;2001;1;4577.864;3.342;0;5.59;14.395;0.659;0;0;0;0;3.569
CL;2002;1;4474.202;2.17;0;7.601;15.087;0.318;0;0;0;0;2.489
CL;2003;1;4804.839;3.387;0;6.525;12.641;0.536;0;0;0;0;2.81
CL;2004;2;6203.691;6.797;0;3.983;10.294;0.511;0;0;0;0;1.055
CL;2005;2;7612.49;6.305;0;-0.005;6.997;0.485;0;0;0;0;3.052
CL;2006;0;9473.361;5.825;0;-6.629;4.994;0.813;0;0;0;0;3.392
CL;2007;1;10486.498;5.207;0;-12.967;3.89;0.536;0;0;0;0;4.408
CL;2008;1;10760.847;3.247;0;-19.276;4.919;-1.515;0;0;0;0;8.716
CL;2009;0;10197.894;-1.082;0;-10.563;5.834;-4.27;0;0;0;0;1.484
CL;2012;0;15198.952;5.546;0;-6.822;12.03;-0.13;0;0;0;0;3.007
CL;2013;0;15713.165;4.031;0;-5.65;12.792;-1.026;0;0;0;0;1.928
CL;2014;0;14517.14;1.832;0;-4.381;15.061;-1.464;0;0;0;0;4.395
CL;2015;0;13340.905;2.069;0;-4.543;17.056;-2.033;0;0;0;0;4.295
CN;2006;0;2093.546;12.7;11.77;0;31.968;-0.645;0;0;0;0;1.5
CN;2008;0;3437.411;9.6;8.25;0;31.649;-0.318;0;0;0;0;5.9
CN;2009;0;3800.267;9.2;8.83;0;36.922;-1.842;0;0;0;0;-0.7
CN;2010;0;4478.488;10.606;9.31;0;35.113;0.579;0;0;0;0;3.3
CN;2011;0;5523.459;9.457;9.57;0;35.299;-0.069;0;0;0;0;5.4
CN;2012;0;6256.356;7.7;8.89;0;36.931;-0.466;0;0;0;0;2.646
CN;2013;0;6995.254;7.7;9.25;0;39.452;-0.501;0;0;0;0;2.624
CN;2014;0;7625.793;7.3;9.3;0;41.12;-0.479;0;0;0;0;1.988
CN;2015;0;7989.72;6.9;0;0;43.9;-2.436;0;0;0;0;1.441
CO;1993;1;2159.589;5.71;34.98;0;0;0;1;1;1;1;22.455
CO;1994;1;2665.578;5.147;27.54;0;0;0;1;1;1;1;22.846
CO;1995;0;2967.146;5.202;27.66;0;0;0;1;1;1;1;20.892
CO;1996;0;3066.617;2.056;30.25;0;27.107;0;1;1;1;1;20.798
CO;1997;0;3322.988;3.43;30.54;0;29.407;0;1;1;1;1;18.47
CO;1998;0;3021.488;0.57;34.15;0;31.959;0;1;1;1;1;18.677
CO;1999;1;2613.62;-4.204;39.88;26.879;39.558;0;1;1;1;1;10.874
CO;2000;0;2478.536;2.925;34;31.887;44.221;-3.721;1;1;1;1;9.225
CO;2001;0;2406.053;1.678;37.09;33.541;40.83;-3.153;1;1;1;1;7.966
CO;2002;0;2369.905;2.504;34.09;30.74;47.238;-2.384;1;1;1;1;6.352
CO;2003;0;2261.583;3.918;39.64;37.48;44.749;-1.159;1;1;1;1;7.13
CO;2004;0;2763.699;5.333;32.96;32.51;41.214;0.09;1;1;1;1;5.904
CO;2005;0;3416.901;4.707;25.94;27.956;38.284;0.571;0;1;1;1;5.051
CO;2006;0;3749.84;6.698;23.99;25.287;35.754;-1.328;0;0;1;1;4.293
CO;2007;1;4722.938;6.901;22.4;22.476;32.469;-2.02;0;0;1;1;5.544
CO;2008;0;5495.984;3.547;19.86;22.267;32.144;-1.177;0;0;1;1;6.997
CO;2009;0;5200.047;1.652;23.83;26.148;35.171;-2.29;0;0;0;1;4.203
CO;2010;0;6305.285;3.972;23.47;28.448;36.439;-2.552;0;0;0;1;2.272
CO;2011;0;7305.217;6.59;23.72;27.067;35.634;-2.644;0;0;0;1;3.415
CO;2012;0;7933.534;4.044;22.2;24.87;34.071;-1.467;0;0;0;1;3.169
CO;2013;1;8065.218;4.874;25.11;27.011;37.795;-2.528;0;0;0;1;2.017
CO;2014;0;7928.061;4.386;27.69;33.789;44.282;-3.129;0;0;0;0;2.899
CO;2015;0;6083.51;3.082;0;40.257;49.374;-3.3;0;0;0;0;4.99
CR;2007;0;6221.39;7.935;33.21;0;26.857;0;1;1;1;1;9.357
CR;2008;0;6950.392;2.732;31.51;0;24.157;0;1;1;1;1;13.424
CR;2009;0;6744.439;-1.016;27.42;0;26.546;0;0;1;1;1;7.839
CZ;1998;1;6441.993;-0.316;0;0;13.933;-3.521;1;1;1;1;10.702
CZ;1999;1;6289.772;1.438;0;0;15.202;-1.938;1;1;1;1;2.103
CZ;2000;1;5981.079;4.294;0;0;17.025;-2.425;1;1;1;1;3.801
CZ;2001;1;6584.783;3.052;0;0;22.782;-4.266;1;1;1;1;4.677
CZ;2011;1;21676.245;1.967;0;0;39.876;-2.847;1;1;1;1;1.929
CZ;2012;1;19650.912;-0.9;0;0;44.625;-1.345;1;1;1;1;3.294
CZ;2013;1;19810.38;-0.528;0;0;45.179;0.236;1;1;1;1;1.419
CZ;2014;1;19526.401;1.978;0;0;42.738;-0.854;1;1;1;1;0.353
CZ;2015;1;17256.918;4.215;0;0;40.948;-1.802;1;1;1;1;0.332
DE;1993;0;25446.453;-0.979;0;0;44.544;-2.634;0;0;0;0;4.476
DE;1994;0;27116.255;2.527;0;0;46.817;-2.269;0;0;0;0;2.717
DE;1995;0;31709.245;1.815;0;33.879;54.122;-2.851;0;0;0;0;1.733
DE;1996;0;30540.234;0.859;0;37.1;56.909;-2.71;0;0;0;0;1.263
DE;1997;0;27075.419;1.902;0;38.728;58.098;-2.288;0;0;0;0;1.51
DE;1998;0;27383.307;1.776;0;40.451;58.737;-1.987;0;0;0;0;0.615
DE;1999;0;26810.519;1.845;0;42.008;60.031;-1.26;0;0;0;0;0.654
DE;2000;0;23774.426;3.194;0;38.946;58.861;-2.043;0;0;0;0;1.384
DE;2001;0;23681.674;1.843;0;40.19;57.662;-3.334;0;0;0;0;1.911
DE;2002;0;25279.619;0.016;0;42.766;59.256;-3.513;0;0;0;0;1.35
DE;2003;0;30418.959;-0.733;0;46.706;62.968;-2.926;0;0;0;0;1.027
DE;2004;0;34218.694;0.703;0;48.959;64.701;-2.733;0;0;0;0;1.781
DE;2005;0;34769.257;0.878;0;51.528;66.945;-2.065;0;0;0;0;1.948
DE;2006;0;36507.125;3.879;0;51.06;66.376;-1.692;0;0;0;0;1.804
DE;2007;0;41897.509;3.383;0;48.126;63.586;-0.821;0;0;0;0;2.267
DE;2008;0;45976.118;0.805;0;47.955;65.041;-0.75;0;0;0;0;2.757
DE;2009;0;41889.695;-5.565;0;54.257;72.499;-0.857;0;0;0;0;0.218
DE;2010;0;41876.44;3.945;0;56.693;81.007;-2.186;0;0;0;0;1.149
DE;2011;0;46822.361;3.718;0;55.038;78.374;-1.251;0;0;0;0;2.477
DE;2012;0;43981.748;0.613;0;54.404;79.707;0.004;0;0;0;0;2.147
