Country2Code;Year;Moodys_NumericRating;Fitch_NumericRating;AvgRatingMF;Diff_DW_MF;OLD_Diff_DW_MF_OLD;BudgetBal_NGDP;BudgetBal_NGDP_Var;GGSB_NPGDP;GGSB_NPGDP_Var;GGXWDG_NGDP;GGXWDG_NGDP_Var;GGXWDN_NGDP;GGXWDN_NGDP_Var;NGDP_RPCH;NGDPDPC;NGDPDPC_Var;PCPIPCH;ExtDebtCombinedPercGNI;ExtDebtPercGNI_Var;DefaultLastYear;DefaultLast2Years;DefaultLast5Years;DefaultLast10Years
BG;2003;10;11;10.5;1;1;0;100.325;1.08;116.265;45.58;-14.874;-8.9;-214.745;5.08;2701.6;29.557;2.35;66.58;-9.686;1;1;1;1
BG;2004;11;12;11.5;1;1;1.6;79750;2.01;87.001;37.86;-16.946;-12.73;-43.08;6.56;3362.25;24.454;6.15;62.96;-5.439;0;1;1;1
BR;1994;8;8;8;0;0;0;0;0;0;0;0;0;0;5.34;3569.46;0;2075.83;28.47;0;1;1;1;1
BR;1995;8;8;8;0;0;0;0;0;0;0;0;0;0;4.42;4950.3;38.685;66.01;21.23;-25.406;1;1;1;1
BR;1996;8;8;8;0;0;-5.35;0;0;0;0;0;0;0;2.21;5273.89;6.537;15.76;21.92;3.226;1;1;1;1
BR;1997;8;8;8;0;0;-5.6;-4.826;0;0;0;0;0;0;3.4;5394.64;2.29;6.93;22.66;3.367;1;1;1;1
BR;1998;7;8;7.5;1;1;-7.22;-28.837;0;0;0;0;0;0;0.34;5197.03;-3.663;3.2;29.31;29.368;1;1;1;1
BR;1999;7;7;7;0;0;-5.18;28.324;0;0;0;0;0;0;0.47;3552.14;-31.651;4.86;43.11;47.064;1;1;1;1
BR;2000;8;9;8.5;1;1;-3.32;35.845;-3.52;0;65.56;0;46.97;0;4.39;3778.97;6.385;7.04;38.67;-10.286;1;1;1;1
BR;2001;8;9;8.5;1;1;-3.17;4.458;-2.86;18.636;70.05;6.853;51.49;9.624;1.39;3183.79;-15.75;6.84;43.04;11.305;1;1;1;1
BR;2002;7;7;7;0;0;-4.42;-39.313;-4;-39.735;78.8;12.482;59.93;16.408;3.05;2859.6;-10.183;8.45;47.68;10.761;1;1;1;1
BR;2003;7;8;7.5;1;1;-5.18;-17.153;-3.96;1.049;73.82;-6.314;54.26;-9.469;1.14;3090.66;8.08;14.71;44.13;-7.434;0;1;1;1
BR;2004;8;9;8.5;1;1;-2.88;44.447;-2.61;34.192;70.08;-5.074;50.19;-7.507;5.76;3659.1;18.392;6.6;34.28;-22.319;1;1;1;1
BR;2005;9;9;9;0;0;-3.54;-23.053;-3.2;-22.64;68.59;-2.129;47.92;-4.525;3.2;4815.71;31.609;6.87;21.99;-35.87;1;1;1;1
BR;2006;10;10;10;0;0;-3.57;-0.876;-3.34;-4.349;65.85;-3.995;46.49;-2.982;3.96;5912.55;22.776;4.18;18.29;-16.807;1;1;1;1
BR;2007;11;11;11;0;0;-2.74;23.333;-3.31;0.9;63.74;-3.192;44.14;-5.04;6.07;7374.08;24.719;3.64;17.81;-2.613;1;1;1;1
BR;2008;11;12;11.5;1;1;-1.53;43.99;-2.61;20.968;61.87;-2.941;37.1;-15.962;5.09;8854.16;20.071;5.68;16.29;-8.556;1;1;1;1
CO;2000;10;11;10.5;1;1;-2.94;44.928;-3.72;0;44.22;11.788;31.89;18.632;2.93;2478.54;-5.168;9.23;34;-14.741;1;1;1;1
CO;2001;10;11;10.5;1;1;-2.9;1.26;-3.15;15.265;40.83;-7.668;33.54;5.187;1.68;2406.05;-2.924;7.97;37.09;9.067;1;1;1;1
CO;2002;10;10;10;0;0;-3.43;-18.414;-2.38;24.389;47.24;15.694;30.74;-8.351;2.5;2369.91;-1.502;6.35;34.09;-8.076;1;1;1;1
CO;2003;10;10;10;0;0;-2.69;21.695;-1.16;51.384;44.75;-5.269;37.48;21.926;3.92;2261.58;-4.571;7.13;39.64;16.262;1;1;1;1
CO;2004;10;10;10;0;0;-1.26;52.994;0.09;107.765;41.21;-7.9;32.51;-13.26;5.33;2763.7;22.202;5.9;32.96;-16.846;1;1;1;1
CO;2005;10;10;10;0;0;-0.01;98.892;0.57;534.444;38.28;-7.109;27.96;-14.008;4.71;3416.9;23.635;5.05;25.94;-21.288;0;1;1;1
CO;2006;10;10;10;0;0;-0.99;-6985.714;-1.33;-332.574;35.75;-6.609;25.29;-9.547;6.7;3749.84;9.744;4.29;23.99;-7.536;0;0;1;1
CO;2007;10;11;10.5;1;1;-0.85;14.617;-2.02;-52.108;32.47;-9.188;22.48;-11.116;6.9;4722.94;25.95;5.54;21.75;-9.338;0;0;1;1
CO;2008;11;11;11;0;0;-0.25;70.248;-1.18;41.733;32.14;-1.001;22.27;-0.93;3.55;5495.98;16.368;7;19.74;-9.238;0;0;1;1
CO;2009;11;11;11;0;0;-2.8;-1009.127;-2.29;-94.562;35.17;9.417;26.15;17.429;1.65;5200.05;-5.385;4.2;23.53;19.217;0;0;0;1
CO;2010;11;11;11;0;0;-3.3;-17.996;-2.55;-11.441;36.44;3.605;28.45;8.796;3.97;6305.29;21.254;2.27;23.14;-1.662;0;0;0;1
CR;2014;11;11;11;0;0;-6.01;-7.476;;0;39.26;8.925;;0;2.97;10388.99;-1.25;4.52;43.78;12.486;0;0;0;1
CR;2015;11;11;11;0;0;-5.83;2.946;;0;42.38;7.934;;0;3.68;10936.24;5.268;0.8;45.59;4.148;0;0;0;1
EC;2002;4;5;4.5;1;1;0.76;935.616;3.77;-8.187;52.52;-15.699;;0;4.1;2180.39;14.191;12.49;59.4;-2.541;1;1;1;1
EC;2003;4;5;4.5;1;1;1;32.011;3.84;1.778;44.87;-14.566;;0;2.72;2434.98;11.676;7.93;53.82;-9.389;1;1;1;1
EC;2004;5;6;5.5;1;1;1.93;93.587;4.03;4.954;39.76;-11.399;;0;8.21;2700.12;10.889;2.74;50.47;-6.226;1;1;1;1
EC;2005;5;7;6;1;2;0.64;-66.822;2.41;-40.174;35.02;-11.908;;0;5.29;3025.01;12.033;2.17;43.84;-13.134;1;1;1;1
EC;2006;5;7;6;1;2;2.85;344.93;4.61;91.321;28.83;-17.683;;0;4.4;3351.48;10.792;3.3;38.67;-11.79;1;1;1;1
EC;2007;4;5;4.5;1;1;2.6;-8.906;4.82;4.515;27.2;-5.661;;0;2.19;3588.31;7.067;2.28;36.43;-5.813;1;1;1;1
EC;2008;2;3;2.5;1;1;0.56;-78.329;-4;-182.97;22.24;-18.237;;0;6.36;4267.47;18.927;8.4;26.21;-28.043;1;1;1;1
EC;2009;3;6;4.5;1;3;-3.57;-734.103;-3.23;19.249;17.72;-20.317;;0;0.57;4241.94;-0.598;5.16;21.65;-17.401;1;1;1;1
EC;2010;3;6;4.5;1;3;-1.36;61.989;-2.39;25.79;19.68;11.045;;0;3.53;4633.25;9.225;3.55;21.83;0.845;1;1;1;1
EC;2011;4;6;5;1;2;-0.13;90.641;-2.49;-3.843;19.43;-1.25;;0;7.87;5192.88;12.079;4.48;21.14;-3.188;1;1;1;1
EC;2012;5;6;5.5;1;1;-0.94;-637.795;-3.64;-46.541;21.61;11.22;;0;5.64;5664.89;9.09;5.1;19.56;-7.485;1;1;1;1
EC;2013;5;7;6;1;2;-4.59;-389.648;-8.85;-142.904;25.91;19.875;;0;4.55;6008.09;6.059;2.72;21.72;11.076;1;1;1;1
EC;2014;6;7;6.5;1;1;-5.35;-16.521;-9.74;-10.024;31.18;20.378;;0;3.68;6296.53;4.801;3.59;26.5;22.016;1;1;1;1
EC;2015;6;7;6.5;1;1;-5.29;1.066;-4.92;49.486;34.53;10.736;;0;0.02;6070.95;-3.583;3.97;27.67;4.411;1;1;1;1
EG;2001;11;12;11.5;1;1;0;0;0;0;0;0;0;0;3.52;1569.04;-4.48;2.43;27.64;-4.538;1;1;1;1
EG;2002;11;11;11;0;0;-10.79;0;0;0;85.78;0;63.13;0;3.19;1356.68;-13.534;2.43;32.83;18.769;1;1;1;1
EG;2003;11;11;11;0;0;-8.58;20.469;0;0;97.1;13.196;69.63;10.302;3.19;1254.1;-7.561;3.21;35.88;9.284;1;1;1;1
EG;2004;11;11;11;0;0;-7.85;8.54;0;0;96.51;-0.6;67.54;-2.999;4.09;1195.37;-4.683;8.11;39.12;9.034;1;1;1;1
EG;2005;11;11;11;0;0;-8;-1.847;0;0;98.26;1.814;67.59;0.068;4.47;1330.46;11.301;8.83;33.49;-14.395;1;1;1;1
EG;2006;11;11;11;0;0;-8.73;-9.206;-8.7;0;85.92;-12.557;67.87;0.423;6.84;1563.48;17.514;4.2;28.37;-15.269;1;1;1;1
EG;2007;11;11;11;0;0;-7.18;17.787;-7.2;17.182;76.27;-11.238;61.33;-9.636;7.09;1861.05;19.033;10.96;26;-8.353;1;1;1;1
EG;2008;11;11;11;0;0;-7.61;-6.046;-8.1;-12.526;66.76;-12.465;52.84;-13.839;7.16;2270.36;21.993;11.7;20.45;-21.358;1;1;1;1
EG;2009;11;11;11;0;0;-6.56;13.847;-7.06;12.822;69.45;4.028;55.87;5.728;4.67;2578.05;13.553;16.24;18.54;-9.335;1;1;1;1
EG;2010;11;11;11;0;0;-7.88;-20.128;-8.59;-21.532;69.59;0.202;57.09;2.189;5.15;2921.76;13.332;11.69;17.03;-8.128;1;1;1;1
EG;2011;7;9;8;1;2;-9.31;-18.114;-9.64;-12.312;72.88;4.731;61.33;7.421;1.77;3081.17;5.456;11.09;15.28;-10.274;0;1;1;1
EG;2012;7;8;7.5;1;1;-10;-7.491;-10.07;-4.408;75.04;2.957;64.58;5.293;2.23;3346.55;8.613;8.65;14.82;-3.029;0;0;1;1
EG;2013;5;6;5.5;1;1;-13.39;-33.883;-13.16;-30.684;84.66;12.828;74.28;15.029;2.1;3369.98;0.7;6.91;15.95;7.631;0;0;1;1
EG;2014;5;7;6;1;2;-12.92;3.502;-12.45;5.344;85.98;1.56;77.8;4.74;2.21;3476.25;3.153;10.1;13.47;-15.572;0;0;1;1
EG;2015;6;7;6.5;1;1;-11.7;9.488;-11.46;8.006;87.66;1.943;77.99;0.234;4.19;3740.25;7.594;11;14.72;9.289;0;0;0;1
GA;2014;9;9;9;0;0;2.68;51.385;;0;32.16;9.997;;0;4.32;9956.47;2.004;4.51;25.1;-7.604;0;1;1;1
GE;2011;9;9;9;0;0;-0.87;81.883;-1.06;70.882;36.5;-13.915;;0;7.22;3710.7;25.733;8.54;81.07;-5.303;1;1;1;1
GE;2012;9;9;9;0;0;-0.76;12.587;-1.65;-55.629;34.9;-4.384;;0;6.35;4130.55;11.315;-0.94;78.88;-2.712;1;1;1;1
GE;2013;9;9;9;0;0;-1.17;-54.029;-0.14;91.611;34.7;-0.573;;0;3.39;4266.59;3.294;-0.51;86.67;9.878;1;1;1;1
GE;2014;9;9;9;0;0;-1.83;-57.204;-1.28;-823.913;35.5;2.305;;0;4.62;4428.26;3.789;3.07;85.05;-1.865;1;1;1;1
GE;2015;9;9;9;0;0;-1.16;36.661;-0.25;80.392;41.2;16.054;;0;2.76;3788.62;-14.444;4.01;110.63;30.079;1;1;1;1
GH;2014;7;7;7;0;0;-12.37;0.826;;0;69.04;22.764;66.13;25.021;3.99;1472.99;-21.237;15.49;47.73;40.325;1;1;1;1
GH;2015;6;7;6.5;1;1;-5.04;59.274;;0;73.32;6.194;70.94;7.278;3.49;1340.42;-9;17.15;0;-100;1;1;1;1
GR;2011;2;4;3;1;2;-10.24;8.602;-8.44;30.417;171.56;17.68;0;0;-9.13;25896.93;-3.989;3.12;170.78;-8.021;0;0;0;0
GR;2012;1;4;2.5;1;3;-6.5;36.552;-2.39;71.727;158.95;-7.349;155.22;0;-7.3;22171.91;-14.384;1.04;230.34;34.872;0;0;0;0
GR;2013;3;6;4.5;1;3;-2.95;54.578;-0.98;58.801;176.94;11.317;174.1;12.167;-3.2;21773.27;-1.798;-0.85;237.62;3.158;1;1;1;1
GR;2014;5;7;6;1;2;-3.94;-33.537;-2.38;-141.607;178.4;0.824;176.3;1.264;0.65;21593.48;-0.826;-1.39;218;-8.255;1;1;1;1
GR;2015;3;4;3.5;1;1;-4.21;-6.824;-1.07;54.947;178.4;0;176.57;0.151;-0.23;18064.29;-16.344;-1.09;245.87;12.784;0;1;1;1
GT;2006;10;11;10.5;1;1;-1.95;-12.428;;0;21.65;4.307;;0;5.38;2320.3;8.377;6.56;37.04;4.141;1;1;1;1
GT;2007;10;11;10.5;1;1;-1.44;25.913;;0;21.34;-1.441;;0;6.3;2554.52;10.095;6.82;38.1;2.859;1;1;1;1
