Country2Code;Year;SP_NumericRating;Fitch_NumericRating;AvgRatingSF;Diff_DW_SF;BudgetBal_NGDP;BudgetBal_NGDP_Var;GGSB_NPGDP;GGSB_NPGDP_Var;GGXWDG_NGDP;GGXWDG_NGDP_Var;GGXWDN_NGDP;GGXWDN_NGDP_Var;NGDP_RPCH;NGDPDPC;NGDPDPC_Var;PCPIPCH;ExtDebtCombinedPercGNI;ExtDebtPercGNI_Var;DefaultLastYear;DefaultLast2Years;DefaultLast5Years;DefaultLast10Years
PH;2006;9;10;9.5;1;-0.05;97.166;-0.12;93.825;51.58;-12.823;;0;5.24;1405.21;16.235;5.47;37.42;-17.233;1;1;1;1
PH;2007;9;10;9.5;1;-0.3;-520.833;-0.66;-437.398;44.64;-13.458;;0;6.62;1683.69;19.818;2.94;31.6;-15.573;1;1;1;1
PH;2008;9;10;9.5;1;0.02;105.705;-0.45;31.467;44.17;-1.06;;0;4.15;1919.11;13.983;8.18;26.39;-16.477;1;1;1;1
PH;2009;9;10;9.5;1;-2.69;-15894.118;-1.78;-292.053;44.34;0.398;;0;1.15;1851.07;-3.545;4.21;25.06;-5.044;1;1;1;1
PH;2010;10;10;10.0;0;-2.35;12.365;-2.49;-40.315;43.46;-1.987;;0;7.63;2155.41;16.441;3.78;24.56;-2.003;0;1;1;1
PH;2011;10;11;10.5;1;-0.4;83;-0.05;98.114;41.41;-4.717;;0;3.66;2363.88;9.672;4.72;24.72;0.68;0;0;1;1
PH;2012;11;11;11.0;0;-0.3;24.25;-0.32;-576.596;40.61;-1.939;;0;6.68;2591.36;9.623;3.17;23.18;-6.229;0;0;1;1
PG;1999;8;8;8.0;0;-4.44;0;;0;62.26;0;;0;1.86;686;0;14.93;83.25;0;1;1;1;1
PG;2000;8;8;8.0;0;-1.08;75.744;;0;63.12;1.378;;0;-2.46;682.14;-0.563;15.6;69.78;-16.187;0;1;1;1
PG;2001;7;8;7.5;1;-3.55;-230.297;;0;71.06;12.593;;0;-0.05;583.68;-14.433;9.3;72.35;3.695;0;0;1;1
PG;2002;7;8;7.5;1;-4.01;-12.859;;0;70.36;-0.986;;0;2.01;566.06;-3.019;11.8;67.43;-6.807;0;0;1;1
PG;2003;7;7;7.0;0;-1.11;72.251;;0;60.26;-14.353;;0;4.39;673.85;19.041;14.71;60.08;-10.9;1;1;1;1
PG;2004;7;7;7.0;0;1.55;239.623;;0;56.42;-6.384;;0;0.57;739.64;9.763;2.16;50.54;-15.874;0;1;1;1
PG;2005;7;7;7.0;0;2.7;74.003;;0;48.05;-14.824;;0;3.92;841.7;13.799;1.78;41.87;-17.15;0;0;1;1
PG;2006;7;7;7.0;0;6.54;141.679;;0;39.64;-17.51;;0;2.29;934.12;10.979;2.37;37.33;-10.861;0;0;1;1
PG;2008;8;8;8.0;0;2.51;-71.942;;0;31.74;-5.721;;0;6.61;1291.13;23.314;10.77;18.1;-21.609;0;0;0;1
PG;2009;8;8;8.0;0;-9.59;-481.688;;0;31.43;-0.999;;0;6.13;1278.68;-0.964;6.91;22.71;25.477;0;0;0;1
PG;2010;8;8;8.0;0;3.1;132.374;;0;25.59;-18.562;;0;7.68;1471.34;15.067;5.1;65.38;187.886;0;0;0;1
PG;2011;8;8;8.0;0;1.69;-45.554;;0;22.96;-10.296;;0;10.67;1871.21;27.177;4.44;102.12;56.203;0;0;0;1
PG;2012;8;8;8.0;0;-3.2;-289.231;;0;26.71;16.344;;0;8.09;2147.54;14.767;4.54;101.93;-0.188;0;0;0;1
PG;2013;8;8;8.0;0;-7.98;-149.437;;0;34.01;27.335;;0;5.53;2098.13;-2.3;4.96;146.3;43.525;0;0;0;0
PG;2014;8;8;8.0;0;-7.18;10.054;;0;35.55;4.537;;0;8.54;2211.29;5.393;5.29;126.58;-13.476;1;1;1;1
PG;2015;8;8;8.0;0;-7.7;-7.331;;0;40.81;14.778;;0;8.97;2084.71;-5.724;6;0;-100;1;1;1;1
PL;1995;10;11;10.5;1;-4.41;0;-5.83;0;48.99;0;-3.38;0;6.73;3605.16;0;27.88;0;0;1;1;1;1
PT;2012;10;11;10.5;1;-5.66;23.341;-3.07;50.284;126.21;13.305;115.87;14.892;-4.03;20588.89;-11.321;2.78;250.22;20.477;0;0;0;0
PT;2013;10;11;10.5;1;-4.84;14.42;-2.22;27.551;129;2.211;118.44;2.222;-1.13;21625.5;5.035;0.44;239.08;-4.454;0;0;0;0
PT;2014;10;11;10.5;1;-7.18;-48.173;-1.14;48.65;130.17;0.902;120.03;1.345;0.91;22159.43;2.469;-0.16;219.24;-8.296;1;1;1;1
PT;2015;11;11;11.0;0;-4.39;38.838;-1.49;-30.149;128.79;-1.06;121.35;1.094;1.47;19121.59;-13.709;0.51;223.7;2.031;0;1;1;1
PY;2013;9;9;9.0;0;-1.42;0;-1.99;0;17.02;0;12.26;0;14.04;4269.9;0;2.68;49.16;0;1;1;1;1
PY;2015;10;10;10.0;0;-2.46;-240.915;-2.98;-91.892;23.83;17.709;18.87;33.293;3.01;4009.57;-10.512;2.94;13.75;-71.365;0;1;1;1
RO;1996;9;9;9.0;0;-4.71;0;0;0;0;0;;0;3.95;1575.5;0;38.81;22.93;0;0;0;0;1
RO;1997;9;9;9.0;0;-5.15;-9.473;0;0;0;0;;0;-6.05;1581.75;0.397;154.76;27.13;18.35;0;0;0;0
RO;1998;6;7;6.5;1;-5.3;-2.736;0;0;0;0;;0;-4.82;1897.42;19.957;59.1;24.37;-10.187;1;1;1;1
RO;1999;6;6;6.0;0;-3.56;32.842;0;0;0;0;;0;-1.15;1611.13;-15.088;45.8;25.49;4.592;1;1;1;1
RO;2000;6;7;6.5;1;-3.97;-11.614;0;0;29.41;0;;0;2.92;1669.98;3.652;45.67;30.29;18.825;1;1;1;1
RO;2001;7;7;7.0;0;-3.18;19.98;0;0;27.19;-7.548;;0;5.59;1817.05;8.807;34.45;31.49;3.962;1;1;1;1
RO;2002;8;9;8.5;1;-2.59;18.482;0;0;27.32;0.463;;0;5.18;2118.57;16.594;22.16;36.71;16.595;1;1;1;1
RO;2003;10;10;10.0;0;-2.21;14.755;0;0;24.02;-12.058;;0;5.52;2768.12;30.66;15.31;38.86;5.854;1;1;1;1
RO;2004;11;12;11.5;1;-3.34;-51.246;-3.99;0;20.98;-12.667;;0;8.36;3541.52;27.94;11.86;40.64;4.568;1;1;1;1
RO;2008;11;11;11.0;0;-4.74;-52.854;-9.43;-63.785;13.39;5.809;;0;8.46;10160.35;25.055;7.85;49.04;-3.594;1;1;1;1
RO;2009;11;11;11.0;0;-7.13;-50.464;-8.04;14.734;23.35;74.408;;0;-7.07;8220.82;-19.089;5.58;68.95;40.605;1;1;1;1
RO;2010;11;11;11.0;0;-6.3;11.708;-6.14;23.72;30.54;30.782;;0;-0.8;8277.34;0.688;6.11;69.74;1.144;1;1;1;1
RO;2011;11;12;11.5;1;-4.2;33.365;-3.43;44.035;33.87;10.935;;0;1.06;9213.94;11.315;5.8;65.61;-5.922;1;1;1;1
RO;2012;11;12;11.5;1;-2.48;40.872;-1.74;49.33;37.63;11.088;;0;0.64;8542.09;-7.292;3.34;71.62;9.16;1;1;1;1
RO;2013;11;12;11.5;1;-2.47;0.282;-1.73;0.862;38.83;3.178;;0;3.53;9568.36;12.014;4;66.14;-7.652;1;1;1;1
RU;1996;9;11;10.0;2;0;0;0;0;0;0;;0;-3.61;2817.87;0;47.74;0;0;0;0;0;0
RU;1997;9;11;10.0;2;0;0;0;0;0;0;;0;1.38;2922.47;3.712;14.77;0;0;0;0;0;0
RU;1998;3;10;6.5;7;-7.46;0;0;0;0;0;;0;-5.35;1960.04;-32.932;27.68;0;0;0;0;0;0
RU;1999;0;10;5.0;10;-3.6;51.683;-3.26;0;92.79;0;;0;6.35;1422.51;-27.425;85.74;0;0;0;0;0;0
RU;2001;7;8;7.5;1;3.01;-3.717;2.31;8.451;44.64;-20.459;;0;5.09;2252.21;18.947;21.46;0;0;0;0;0;0
RU;2003;10;11;10.5;1;1.36;100.74;1.07;123.591;28.46;-24.676;;0;7.3;3180.69;25.281;13.67;44.34;0;0;0;0;0
RU;2004;11;12;11.5;1;4.6;238.615;4.35;306.536;20.92;-26.491;;0;7.18;4385.15;37.868;10.89;36.89;-16.784;0;0;0;0
RU;2015;11;12;11.5;1;-3.5;-222.488;-2.37;-992.627;17.71;8.436;;0;-3.75;9054.91;-34.73;15.53;39.99;31.102;0;0;0;0
RW;2011;7;7;7.0;0;-1.71;0;;0;23.06;0;;0;7.82;628.11;0;5.67;19.15;0;1;1;1;1
RW;2012;7;7;7.0;0;-1.65;3.745;;0;20.14;-12.684;;0;8.79;687.89;9.518;6.29;17.76;-7.253;1;1;1;1
RW;2013;7;7;7.0;0;-2.54;-54.407;;0;26.47;31.436;;0;4.71;700.39;1.816;4.22;22.89;28.867;1;1;1;1
RW;2014;7;8;7.5;1;-3.59;-41.26;;0;28.97;9.454;;0;6.96;717.35;2.423;1.78;26.07;13.907;1;1;1;1
RW;2015;8;8;8.0;0;-2.83;21.07;;0;34.63;19.528;;0;6.94;731.51;1.974;2.51;28.2;8.158;1;1;1;1
SV;2002;11;11;11.0;0;-3.58;0;;0;37.46;0;;0;2.34;2380.48;0;1.87;41.25;0;0;1;1;1
SV;2003;11;11;11.0;0;-4.07;-13.898;;0;39.14;4.498;;0;2.3;2495.31;4.824;2.12;55.4;34.301;0;0;1;1
SV;2004;11;11;11.0;0;-2.74;32.801;;0;39.41;0.672;;0;1.85;2611.29;4.648;4.45;55.86;0.836;0;0;1;1
SV;2005;11;11;11.0;0;-2.97;-8.55;;0;38.55;-2.175;;0;3.56;2816.11;7.844;4.69;56.11;0.451;0;0;1;1
SV;2006;11;11;11.0;0;-2.54;14.642;;0;39.1;1.427;;0;3.91;3041.1;7.989;4.04;56.17;0.109;0;0;0;1
SV;2007;11;11;11.0;0;-1.85;27.208;;0;38.03;-2.732;;0;3.84;3285.11;8.024;4.58;50.15;-10.717;0;0;0;1
SV;2008;11;11;11.0;0;-2.68;-45.016;;0;39.25;3.213;;0;1.27;3484.72;6.076;7.26;50.62;0.921;0;0;0;1
SV;2009;10;10;10.0;0;-5.55;-107.322;;0;48.21;22.829;;0;-3.13;3343.2;-4.061;0.54;51.57;1.885;1;1;1;1
SV;2010;10;10;10.0;0;-4.43;20.198;;0;49.66;3.007;;0;1.37;3443.46;2.999;1.18;52.97;2.711;0;1;1;1
SV;2011;9;10;9.5;1;-4.1;7.496;;0;49.96;0.604;;0;2.22;3696.33;7.343;5.13;53.26;0.559;0;0;1;1
SV;2012;9;10;9.5;1;-3.94;3.832;;0;55.2;10.488;;0;1.88;3779.94;2.262;1.73;56.87;6.764;0;0;1;1
SV;2013;9;9;9.0;0;-3.59;8.858;;0;55.25;0.089;;0;1.85;3849.73;1.846;0.76;57.96;1.926;0;0;1;1
SV;2014;8;9;8.5;1;-3.35;6.656;;0;56.83;2.861;;0;1.95;3961.79;2.911;1.14;60.62;4.577;0;0;0;1
SV;2015;8;8;8.0;0;-3.23;3.789;;0;58.92;3.662;;0;2.4;4040.32;1.982;-0.73;62.65;3.354;0;0;0;1
RS;2005;9;9;9.0;0;1.1;0;0.69;0;54.11;0;49.24;0;5.54;3504.3;0;16.25;62.32;0;1;1;1;1
RS;2006;9;9;9.0;0;-0.98;-189.292;-1.46;-312.828;40.3;-25.526;32.39;-34.219;4.9;4145.03;18.284;10.73;65.86;5.677;1;1;1;1
RS;2007;9;9;9.0;0;-0.89;9.146;-2.03;-39.041;33.44;-17.026;26.97;-16.748;5.89;5486.49;32.363;6;66.41;0.837;1;1;1;1
RS;2008;9;9;9.0;0;-1.89;-111.857;-4.14;-103.842;32.38;-3.167;28.81;6.82;5.37;6688.95;21.917;12.41;63.65;-4.15;1;1;1;1
RS;2009;9;9;9.0;0;-3.64;-92.133;-4.03;2.731;35.95;11.042;30.78;6.867;-3.12;5820.47;-12.984;8.12;80.67;26.73;1;1;1;1
RS;2010;9;9;9.0;0;-3.69;-1.484;-4.3;-6.832;43.68;21.493;38.91;26.385;0.58;5353.56;-8.022;6.14;85.39;5.856;1;1;1;1
RS;2012;9;9;9.0;0;-6.76;-63.324;-5.88;-19.117;58.32;25.117;52.12;27.177;-1.02;5656.26;-11.951;7.33;87.57;25.35;1;1;1;1
RS;2013;9;9;9.0;0;-5.31;21.479;-5.65;3.995;61.42;5.319;53.12;1.919;2.57;6351.68;12.295;7.69;83.4;-4.762;1;1;1;1
SC;2010;0;6;3.0;6;0.52;0;;0;81.89;0;75.81;0;5.95;10805.1;0;-2.41;0;0;1;1;1;1
SC;2011;0;7;3.5;7;3.43;557.965;;0;77.29;-5.623;72.21;-4.745;5.38;11647.02;7.792;2.56;0;0;1;1;1;1
SC;2012;0;7;3.5;7;2.89;-15.694;;0;82.54;6.791;70.03;-3.015;3.68;11999.92;3.03;7.11;357.04;0;1;1;1;1
SC;2013;0;7;3.5;7;0.37;-87.128;;0;68.8;-16.649;56.86;-18.817;5.04;14623.54;21.864;4.34;269;-24.659;1;1;1;1
SC;2014;0;8;4.0;8;3.65;881.452;;0;68.63;-0.243;51.34;-9.698;6.21;14769.86;1.001;1.39;253.59;-5.728;1;1;1;1
SC;2015;0;9;4.5;9;1.98;-45.878;;0;68.09;-0.785;50.03;-2.565;4.37;14940.71;1.157;4.04;238.89;-5.794;0;1;1;1
TN;2012;10;11;10.5;1;-5.38;-47.452;-5.75;-75.107;44.66;0.072;44.66;0.072;3.9;4179.91;-2.607;5.14;58.56;12.89;0;0;0;0
TN;2013;7;9;8.0;2;-7.39;-37.235;-6.45;-12.267;46.55;4.239;46.55;4.239;2.45;4248.66;1.645;5.81;58.07;-0.84;0;0;0;0
TN;2014;7;9;8.0;2;-3.38;54.305;-4.32;33.013;50.11;7.639;50.11;7.639;2.26;4328.63;1.882;4.92;57.51;-0.952;1;1;1;1
TN;2015;7;9;8.0;2;-4.36;-29.304;-4.26;1.365;54.5;8.773;54.5;8.773;0.8;3922.65;-9.379;4.85;63.23;9.949;1;1;1;1
TR;1995;8;9;8.5;1;0;0;0;0;0;0;43.74;0;7.19;3965.18;27.757;89.57;44.37;-14.655;0;0;0;0
TR;1996;7;8;7.5;1;0;0;0;0;0;0;47.05;7.561;7.01;4175.16;5.296;80.24;44.71;0.764;0;0;0;0
TR;1997;7;8;7.5;1;0;0;0;0;0;0;44.27;-5.894;7.53;4287.91;2.701;85.65;45.35;1.427;0;0;0;0
TR;1998;7;8;7.5;1;0;0;0;0;0;0;44.77;1.123;3.09;4314.94;0.63;84.72;36.46;-19.606;0;0;0;0
TR;1999;7;8;7.5;1;0;0;0;0;0;0;62.51;39.622;-3.37;3950.73;-8.441;64.87;41.34;13.391;0;0;0;0
TR;2000;8;9;8.5;1;-7.95;0;-9.37;0;51.31;0;57.54;-7.956;6.77;4149.29;5.026;55.04;44.48;7.601;0;0;0;0
TR;2001;6;7;6.5;1;-12.56;-58.072;-9.79;-4.451;77.94;51.892;75.98;32.045;-5.7;3008.58;-27.492;54.25;59.13;32.926;0;0;0;0
TR;2002;6;7;6.5;1;-14.4;-14.616;-12.73;-30.074;74;-5.05;70.58;-7.108;6.16;3521.82;17.059;45.13;56.82;-3.91;0;0;0;0
TR;2005;9;9;9.0;0;-0.81;81.151;-1.58;62.966;52.71;-11.578;45.97;-16.44;8.4;7053.95;21.571;8.18;36.04;-11.914;0;0;0;0
TR;2006;9;9;9.0;0;-0.71;12.192;-3.56;-125.364;46.52;-11.736;38.98;-15.214;6.89;7638.03;8.28;9.6;39.93;10.782;0;0;0;0
TR;2007;9;9;9.0;0;-1.99;-178.962;-3.91;-9.767;39.91;-14.223;32.71;-16.081;4.67;9213.85;20.631;8.76;40.33;0.999;0;0;0;0
TR;2008;9;9;9.0;0;-2.72;-36.652;-4.03;-2.992;39.98;0.193;32.54;-0.52;0.66;10283;11.604;10.44;39.99;-0.851;0;0;0;0
TR;2009;9;11;10.0;2;-6;-120.787;-3.32;17.701;46.07;15.229;37.53;15.341;-4.83;8528.56;-17.062;6.25;45.69;14.263;0;0;0;0
TR;2010;10;11;10.5;1;-3.43;42.876;-3.01;9.291;42.34;-8.113;34.74;-7.431;9.16;10001.63;17.272;8.57;41.28;-9.655;0;0;0;0
TR;2011;10;11;10.5;1;-0.61;82.293;-2.7;10.143;39.14;-7.542;31.32;-9.867;8.77;10437.72;4.36;6.47;39.76;-3.682;0;0;0;0
TR;2012;10;12;11.0;2;-1.67;-175.288;-3.55;-31.495;36.16;-7.624;27.78;-11.301;2.13;10490.12;0.502;8.89;43.08;8.346;1;1;1;1
TR;2013;11;12;11.5;1;-1.25;24.955;-2.82;20.574;36.14;-0.055;27.35;-1.552;4.19;10821.44;3.158;7.49;47.8;10.962;0;1;1;1
TR;2014;11;12;11.5;1;-1.24;0.877;-1.52;46.315;33.54;-7.203;24.64;-9.892;2.91;10381.03;-4.07;8.86;51.63;8.015;0;0;1;1
TR;2015;11;12;11.5;1;-1.01;18.906;-1.25;17.228;32.61;-2.761;23.51;-4.598;3.84;9437.37;-9.09;7.67;56.14;8.743;0;0;1;1
UG;2014;7;7;7.0;0;-3.46;14.119;;0;31.21;12.681;;0;4.93;710.58;4.382;4.61;19.48;-1.427;1;1;1;1
UG;2015;7;8;7.5;1;-2.94;14.996;;0;35.36;13.301;;0;5.04;620.21;-12.717;5.79;38.64;98.332;1;1;1;1
UA;2002;7;7;7.0;0;-1.77;39.281;0;0;32.34;-8.478;30.66;-9.701;5.34;919.14;12.799;0.76;56.05;-5.636;1;1;1;1
UA;2003;7;8;7.5;1;-0.86;51.438;-1.23;0;28.3;-12.506;26.1;-14.865;9.52;1096.29;19.273;5.21;51.96;-7.3;1;1;1;1
UA;2004;8;8;8.0;0;-4.25;-393.961;-6.47;-424.331;23.89;-15.598;22.53;-13.699;11.8;1427.28;30.192;9.04;47.89;-7.838;1;1;1;1
UA;2005;9;9;9.0;0;-2.19;48.413;-1.96;69.621;17.09;-28.457;13.4;-40.523;3.07;1909.8;33.807;13.52;39.58;-17.348;0;1;1;1
UA;2006;9;9;9.0;0;-1.32;40.064;-1.88;4.379;14.26;-16.573;11.31;-15.621;7.57;2407.9;26.081;9.08;49.5;25.063;0;0;1;1
UA;2007;9;9;9.0;0;-1.9;-44.106;-3.65;-94.356;11.82;-17.123;9.71;-14.116;8.22;3219.88;33.722;12.84;56.14;13.406;0;0;1;1
UA;2008;7;8;7.5;1;-3.03;-59.894;-3.49;4.356;19.66;66.416;17.55;80.721;2.24;4095.44;27.192;25.2;55.07;-1.908;0;0;1;1
UA;2009;5;6;5.5;1;-6.03;-99.109;-2.14;38.614;34.12;73.538;30.8;75.513;-15.14;2654.99;-35.172;15.9;90.89;65.051;0;0;0;1
UA;2012;7;7;7.0;0;-4.31;-55.994;-4.49;-42.644;37.54;1.806;35.33;2.385;0.24;3872.53;7.881;0.57;75.71;-10.884;0;0;0;1
UA;2013;6;6;6.0;0;-4.79;-11.098;-4.83;-7.552;40.65;8.284;38.44;8.785;-0.03;4185.48;8.081;-0.26;82.56;9.047;0;0;0;1
UA;2014;3;4;3.5;1;-4.46;6.708;-2.99;38.049;70.31;72.948;68.78;78.947;-6.55;3095.08;-26.052;12.1;100.34;21.529;0;0;0;0
UY;1995;11;11;11.0;0;0;0;0;0;0;0;0;0;-1.45;6661.87;9.747;42.25;0;0;0;0;1;1
UY;1996;11;11;11.0;0;0;0;0;0;0;0;0;0;5.58;7038.55;5.654;28.34;0;0;0;0;1;1
UY;2002;6;7;6.5;1;-3.67;-7.195;-0.82;69.815;109.58;99.634;75.7;116.376;-7.05;4120.39;-34.799;13.97;0;0;0;0;0;0
UY;2003;6;6;6.0;0;-2.64;27.995;0.9;209.78;111.55;1.795;71.06;-6.132;2.33;3652.77;-11.349;19.38;83.36;0;0;0;0;0
UY;2004;7;7;7.0;0;-1.81;31.262;1;11.693;93.55;-16.136;61.2;-13.871;4.64;4151.89;13.664;9.16;78.53;-5.79;1;1;1;1
UY;2005;7;8;7.5;1;-0.41;77.233;1.34;33.799;83.92;-10.292;50.72;-17.121;6.81;5263.1;26.764;4.7;60.77;-22.613;0;1;1;1
UY;2006;8;8;8.0;0;-0.54;-31.235;2.24;66.915;75.7;-9.798;47.44;-6.466;4.1;5919.56;12.473;6.4;49.03;-19.315;0;0;1;1
UY;2007;9;9;9.0;0;0.01;101.845;1.32;-41.25;67.99;-10.188;37.81;-20.309;6.54;7058.13;19.234;8.12;48.68;-0.72;0;0;1;1
VN;2002;9;9;9.0;0;-2.36;0;;0;35.19;0;;0;7.08;440.21;0;4.08;35.7;0;1;1;1;1
VN;2003;9;9;9.0;0;-3.25;-37.962;;0;37.88;7.662;;0;7.34;489.03;11.091;3.3;37.92;6.204;1;1;1;1
VN;2004;9;9;9.0;0;-0.19;94.152;;0;37.45;-1.151;;0;7.79;603.67;23.441;7.89;37.04;-2.305;1;1;1;1
VN;2005;9;9;9.0;0;-1.21;-537.895;;0;36.54;-2.414;;0;7.55;699.68;15.905;8.39;33.65;-9.154;1;1;1;1
VN;2014;9;9;9.0;0;-6.15;17.114;;0;55.55;5.971;;0;5.98;2048.95;7.743;4.09;40.59;1.574;1;1;1;1
VN;2015;9;9;9.0;0;-6.54;-6.476;;0;59.29;6.744;;0;6.68;2088.34;1.923;0.63;0;-100;1;1;1;1
ZA;1994;10;10;10.0;0;0;0;0;0;0;0;0;0;3.23;3446.84;0;8.88;15.78;0;1;1;1;1
ZM;2012;8;8;8.0;0;-2.83;0;;0;24.91;0;19.55;0;7.57;1724.71;0;6.58;23.58;0;1;1;1;1
ZM;2015;7;7;7.0;0;-8.06;-35.048;;0;52.95;50.693;48.4;67.096;3.64;1350.15;-21.776;10.11;0;-100;1;1;1;1
